      MAE    RMSE
0: 0.13495346911864683  0.17232585247212026
1: 0.10416277812789644  0.11582184365984706
10: 0.1951682750269518  0.20981061467015244
100: 0.23122283581103556  0.29583615463699386
101: 0.026139424340450773  0.03686100987409561
102: 0.07227185096758969  0.09544934518322379
103: 0.09947780675568395  0.13305970893160887
104: 0.11058838178101565  0.12205257111264771
105: 0.6711592077457893  0.724087709368684
106: 0.16451073839484873  0.21490335664087118
107: 0.05541799972065536  0.09024535031411561
108: 0.17151921799949185  0.1842661067661723
109: 0.0550443631457028  0.07810384157338404
11: 0.039794316772075254  0.06243765486887658
110: 0.05270050275829922  0.07917939424748113
111: 0.16312893288889846  0.2969514252985412
112: 0.0847533161242137  0.12919684738962411
113: 0.1372717164435925  0.1766356118917537
114: 0.05308293170229806  0.05898267382894665
115: 0.10858281579634672  0.14118665046986156
116: 0.11585783696513831  0.1257814627248671
117: 0.2188850160042445  0.2709812110056991
118: 0.08016225961427674  0.08812043072696041
119: 0.07272654628215096  0.09206399317571029
12: 0.037172516019338735  0.045995386436997535
120: 0.46551448418966945  0.5608507165510845
121: 0.04370739271662651  0.05441843704791573
122: 0.05843563745730373  0.05900676006840512
123: 0.02735195125462501  0.03817572942563105
124: 0.1398379703986513  0.16262013405213005
125: 0.17092508065603615  0.19516472682180272
126: 0.13494089707765686  0.16601512376904895
127: 0.6145429526748972  0.6228435006386072
128: 0.6257996809151893  0.6755466466378099
129: 0.039485213805522244  0.04399036093672975
13: 0.05288305351300673  0.08393141748084258
130: 0.038016548763813725  0.05621380318074826
131: 0.29638880395595313  0.3598155713944576
132: 0.3736213834870458  0.4347580921958841
134: 1.7203136189199613  1.8589916373110276
135: 0.03685046711503243  0.04607961747962985
136: 0.05756064666112265  0.06283135734102219
137: 0.05268954522291821  0.06202633807604916
138: 0.06759956717714387  0.07873181098963183
139: 0.133817885107954  0.1695639132910771
14: 0.09556736268649917  0.12323394177517334
140: 0.3869335983875494  0.4726974651152725
141: 0.1679906646922146  0.22288333566907995
142: 0.15861148272089173  0.17779533716049178
143: 0.24356240723081815  0.24516609776938086
144: 0.07588035793414256  0.09534138455287862
145: 0.06813527755334996  0.07638608601637555
146: 0.25098250934540817  0.2808822478734387
147: 0.0475134118057361  0.07015169320327201
148: 0.06056021254723059  0.07450317352059561
149: 0.06570129277317512  0.10059159548341011
15: 0.06678393700342071  0.08822646214991643
150: 0.09321226243046814  0.1229902947021891
151: 0.09182453335071589  0.10325035559516306
152: 0.19846466475041188  0.278013375206823
153: 0.8755486581797697  0.8995163623797213
16: 0.2190065284463171  0.2632373252365239
17: 0.1466747438974768  0.16367489562526846
18: 0.08806518597863301  0.10117443786679635
19: 0.10617340546121984  0.1715854346981383
2: 0.11193501730759936  0.12403154949698532
20: 0.041954163993799726  0.0558359429956298
21: 0.08373105584947686  0.0944692627973043
22: 0.06186767689983542  0.0695133257521455
23: 0.04685845173616415  0.06133872428684923
24: 1.4737681153024658  1.6750833338014095
25: 1.0782761574074073  1.2273809832383122
26: 0.3892372239496133  0.4382837152301502
27: 0.22666144114411443  0.252080887599399
28: 0.09020668937784689  0.10391127136970905
29: 0.28988277978716476  0.3269837896835504
3: 0.20870563042754528  0.27190249713268244
30: 0.17043938383922072  0.2198634425475853
31: 0.10383376984850566  0.11776379690296715
32: 0.14964574478989554  0.1703959149825058
33: 0.07137885004689862  0.0719202634989279
34: 0.10796526931373092  0.14211325402852182
35: 0.033535653183697  0.03927416814590192
36: 0.08595939678481862  0.12065501764423625
37: 0.17758733183628803  0.23265426393674465
38: 0.0958886833810067  0.10348461334164306
39: 0.05997553471969593  0.08126671994609914
4: 0.14336643691229306  0.18163505508894875
40: 0.11783040797607741  0.12780922473563655
41: 0.1838768356478991  0.21311615303045428
42: 0.08685348814520133  0.10739389699189508
43: 0.18652127771953453  0.24376011476830423
44: 0.056114673973047834  0.10027684141412685
45: 0.10543828062454236  0.1303265028947486
46: 0.053116505147141474  0.06179573613556415
47: 0.07278419093784584  0.11174853896155774
48: 0.18750445953039363  0.28312365005477785
49: 0.31778480360969924  0.3273000079631846
5: 0.09381472808706992  0.10945817194856082
50: 0.0705195614820303  0.0891723585959492
51: 0.42301730225988693  0.44387466017013943
52: 0.07368279781521703  0.0852625576966381
53: 0.5792104352126608  0.5957647953334471
54: 0.10608040100758469  0.1435186989205454
55: 0.047045590021537735  0.0663996351840973
56: 0.08752293572556712  0.10751831030318137
57: 0.09914280456095115  0.10871629016133685
58: 0.2923523454157782  0.31877752971822854
59: 0.14628005648945155  0.1782113267331828
6: 11.44798731474504  17.195023039121292
60: 0.05650513562893796  0.07737230575214835
61: 0.17281218198971982  0.1902154516036874
62: 0.06766640902353972  0.10570152023900095
63: 0.08442016195403203  0.11885894563361762
64: 1.1647580409356726  1.423358819190819
65: 0.08083529538207089  0.08557497548262936
66: 0.09914433843767045  0.14479972479032904
67: 0.21898069435147527  0.24198499868506942
68: 0.11690255513556426  0.18422775471146366
69: 0.09380488857128443  0.11697722355326821
7: 0.09171577886280509  0.1340059016015319
70: 0.08833110865902599  0.09730540943388773
71: 0.07486728933731301  0.09727351142483527
72: 0.09771653580625249  0.11987874782297607
73: 0.05840536759311989  0.09156194698160097
74: 0.06655509406725567  0.07825181376261613
75: 0.07944489230281544  0.10681496915541676
76: 0.07484180390134253  0.0884944835725098
77: 0.05450689510950953  0.05742864978250515
78: 0.07187368397949714  0.08231696890713884
79: 0.02512153282029289  0.03618362297962482
8: 0.12997073311186308  0.16401165961893338
80: 0.05400013423537465  0.06524633378701435
81: 0.0503394501706154  0.06269783276142768
82: 0.08570134190902767  0.09617240215009852
83: 0.13811108583079443  0.17469452662652005
84: 0.12154383618208632  0.1732238961979245
86: 0.08023272345255293  0.09502671384767564
87: 0.050956657157082474  0.06851427099520069
88: 0.2640234878297247  0.40485014329008767
89: 0.0496400158564721  0.06527915082946985
9: 0.17478057406521993  0.20205391797464392
90: 0.04433708531049519  0.05112695956622823
91: 0.11686600208990588  0.16427363154977162
92: 0.06672813877755521  0.12502410958272955
93: 0.06268402327404742  0.07504051769656568
94: 0.035800684372584025  0.03905173319846431
95: 0.16081870712038446  0.2009824224925078
96: 0.028942683188633217  0.03464041588668526
97: 0.18893651451257543  0.3956969087021553
98: 0.17974586165816872  0.22661532584388666
99: 0.11990833001331186  0.14429460449330977
