,0,1,2,3,4,5,6,7,8,9,10,11,12
0,497.0,395.0,389.0,339.0,589.0,610.0,503.0,375.0,295.0,340.0,243.0,343.0,562.0
1,562.0,497.0,395.0,389.0,339.0,589.0,610.0,503.0,375.0,295.0,340.0,243.0,326.0
2,326.0,562.0,497.0,395.0,389.0,339.0,589.0,610.0,503.0,375.0,295.0,340.0,384.0
3,384.0,326.0,562.0,497.0,395.0,389.0,339.0,589.0,610.0,503.0,375.0,295.0,396.0
4,396.0,384.0,326.0,562.0,497.0,395.0,389.0,339.0,589.0,610.0,503.0,375.0,360.0909
5,360.0909,396.0,384.0,326.0,562.0,497.0,395.0,389.0,339.0,589.0,610.0,503.0,-108.0
6,-108.0,360.0909,396.0,384.0,326.0,562.0,497.0,395.0,389.0,339.0,589.0,610.0,111.0
7,111.0,-108.0,360.0909,396.0,384.0,326.0,562.0,497.0,395.0,389.0,339.0,589.0,220.0
8,220.0,111.0,-108.0,360.0909,396.0,384.0,326.0,562.0,497.0,395.0,389.0,339.0,118.0
9,118.0,220.0,111.0,-108.0,360.0909,396.0,384.0,326.0,562.0,497.0,395.0,389.0,-6.495760000000004
10,-6.495760000000004,118.0,220.0,111.0,-108.0,360.0909,396.0,384.0,326.0,562.0,497.0,395.0,127.364
11,127.364,-6.495760000000004,118.0,220.0,111.0,-108.0,360.0909,396.0,384.0,326.0,562.0,497.0,251.64
12,251.64,127.364,-6.495760000000004,118.0,220.0,111.0,-108.0,360.0909,396.0,384.0,326.0,562.0,90.348
13,90.348,251.64,127.364,-6.495760000000004,118.0,220.0,111.0,-108.0,360.0909,396.0,384.0,326.0,-27.276
14,-27.276,90.348,251.64,127.364,-6.495760000000004,118.0,220.0,111.0,-108.0,360.0909,396.0,384.0,-135.452
15,-135.452,-27.276,90.348,251.64,127.364,-6.495760000000004,118.0,220.0,111.0,-108.0,360.0909,396.0,-28.916
16,-28.916,-135.452,-27.276,90.348,251.64,127.364,-6.495760000000004,118.0,220.0,111.0,-108.0,360.0909,-171.144
17,-171.144,-28.916,-135.452,-27.276,90.348,251.64,127.364,-6.495760000000004,118.0,220.0,111.0,-108.0,-84.98
18,-84.98,-171.144,-28.916,-135.452,-27.276,90.348,251.64,127.364,-6.495760000000004,118.0,220.0,111.0,221.68
19,221.68,-84.98,-171.144,-28.916,-135.452,-27.276,90.348,251.64,127.364,-6.495760000000004,118.0,220.0,70.288
20,70.288,221.68,-84.98,-171.144,-28.916,-135.452,-27.276,90.348,251.64,127.364,-6.495760000000004,118.0,-92.56
21,-92.56,70.288,221.68,-84.98,-171.144,-28.916,-135.452,-27.276,90.348,251.64,127.364,-6.495760000000004,30.672880000000006
22,30.672880000000006,-92.56,70.288,221.68,-84.98,-171.144,-28.916,-135.452,-27.276,90.348,251.64,127.364,181.028
23,181.028,30.672880000000006,-92.56,70.288,221.68,-84.98,-171.144,-28.916,-135.452,-27.276,90.348,251.64,331.24
24,331.24,181.028,30.672880000000006,-92.56,70.288,221.68,-84.98,-171.144,-28.916,-135.452,-27.276,90.348,140.392
25,140.392,331.24,181.028,30.672880000000006,-92.56,70.288,221.68,-84.98,-171.144,-28.916,-135.452,-27.276,58.624
26,58.624,140.392,331.24,181.028,30.672880000000006,-92.56,70.288,221.68,-84.98,-171.144,-28.916,-135.452,-124.028
27,-124.028,58.624,140.392,331.24,181.028,30.672880000000006,-92.56,70.288,221.68,-84.98,-171.144,-28.916,-242.888
28,-242.888,-124.028,58.624,140.392,331.24,181.028,30.672880000000006,-92.56,70.288,221.68,-84.98,-171.144,-157.336
29,-157.336,-242.888,-124.028,58.624,140.392,331.24,181.028,30.672880000000006,-92.56,70.288,221.68,-84.98,-126.04
30,-126.04,-157.336,-242.888,-124.028,58.624,140.392,331.24,181.028,30.672880000000006,-92.56,70.288,221.68,161.268
31,161.268,-126.04,-157.336,-242.888,-124.028,58.624,140.392,331.24,181.028,30.672880000000006,-92.56,70.288,78.916
32,78.916,161.268,-126.04,-157.336,-242.888,-124.028,58.624,140.392,331.24,181.028,30.672880000000006,-92.56,54.492
33,54.492,78.916,161.268,-126.04,-157.336,-242.888,-124.028,58.624,140.392,331.24,181.028,30.672880000000006,26.539999999999992
34,26.539999999999992,54.492,78.916,161.268,-126.04,-157.336,-242.888,-124.028,58.624,140.392,331.24,181.028,132.36
35,132.36,26.539999999999992,54.492,78.916,161.268,-126.04,-157.336,-242.888,-124.028,58.624,140.392,331.24,388.208
36,388.208,132.36,26.539999999999992,54.492,78.916,161.268,-126.04,-157.336,-242.888,-124.028,58.624,140.392,148.59199999999998
37,148.59199999999998,388.208,132.36,26.539999999999992,54.492,78.916,161.268,-126.04,-157.336,-242.888,-124.028,58.624,-26.608000000000004
38,-26.608000000000004,148.59199999999998,388.208,132.36,26.539999999999992,54.492,78.916,161.268,-126.04,-157.336,-242.888,-124.028,-195.928
39,-195.928,-26.608000000000004,148.59199999999998,388.208,132.36,26.539999999999992,54.492,78.916,161.268,-126.04,-157.336,-242.888,-192.408
40,-192.408,-195.928,-26.608000000000004,148.59199999999998,388.208,132.36,26.539999999999992,54.492,78.916,161.268,-126.04,-157.336,-250.968
41,-250.968,-192.408,-195.928,-26.608000000000004,148.59199999999998,388.208,132.36,26.539999999999992,54.492,78.916,161.268,-126.04,-105.56799999999998
42,-105.56799999999998,-250.968,-192.408,-195.928,-26.608000000000004,148.59199999999998,388.208,132.36,26.539999999999992,54.492,78.916,161.268,23.051999999999992
43,23.051999999999992,-105.56799999999998,-250.968,-192.408,-195.928,-26.608000000000004,148.59199999999998,388.208,132.36,26.539999999999992,54.492,78.916,72.256
44,72.256,23.051999999999992,-105.56799999999998,-250.968,-192.408,-195.928,-26.608000000000004,148.59199999999998,388.208,132.36,26.539999999999992,54.492,-29.447999999999997
45,-29.447999999999997,72.256,23.051999999999992,-105.56799999999998,-250.968,-192.408,-195.928,-26.608000000000004,148.59199999999998,388.208,132.36,26.539999999999992,-64.18863999999998
46,-64.18863999999998,-29.447999999999997,72.256,23.051999999999992,-105.56799999999998,-250.968,-192.408,-195.928,-26.608000000000004,148.59199999999998,388.208,132.36,151.072
47,151.072,-64.18863999999998,-29.447999999999997,72.256,23.051999999999992,-105.56799999999998,-250.968,-192.408,-195.928,-26.608000000000004,148.59199999999998,388.208,287.448
48,287.448,151.072,-64.18863999999998,-29.447999999999997,72.256,23.051999999999992,-105.56799999999998,-250.968,-192.408,-195.928,-26.608000000000004,148.59199999999998,138.96800000000002
49,138.96800000000002,287.448,151.072,-64.18863999999998,-29.447999999999997,72.256,23.051999999999992,-105.56799999999998,-250.968,-192.408,-195.928,-26.608000000000004,241.128
50,241.128,138.96800000000002,287.448,151.072,-64.18863999999998,-29.447999999999997,72.256,23.051999999999992,-105.56799999999998,-250.968,-192.408,-195.928,85.73599999999999
51,85.73599999999999,241.128,138.96800000000002,287.448,151.072,-64.18863999999998,-29.447999999999997,72.256,23.051999999999992,-105.56799999999998,-250.968,-192.408,-298.4
52,-298.4,85.73599999999999,241.128,138.96800000000002,287.448,151.072,-64.18863999999998,-29.447999999999997,72.256,23.051999999999992,-105.56799999999998,-250.968,-263.664
53,-263.664,-298.4,85.73599999999999,241.128,138.96800000000002,287.448,151.072,-64.18863999999998,-29.447999999999997,72.256,23.051999999999992,-105.56799999999998,-178.57999999999998
54,-178.57999999999998,-263.664,-298.4,85.73599999999999,241.128,138.96800000000002,287.448,151.072,-64.18863999999998,-29.447999999999997,72.256,23.051999999999992,211.8
55,211.8,-178.57999999999998,-263.664,-298.4,85.73599999999999,241.128,138.96800000000002,287.448,151.072,-64.18863999999998,-29.447999999999997,72.256,-58.55199999999999
56,-58.55199999999999,211.8,-178.57999999999998,-263.664,-298.4,85.73599999999999,241.128,138.96800000000002,287.448,151.072,-64.18863999999998,-29.447999999999997,-63.94399999999999
57,-63.94399999999999,-58.55199999999999,211.8,-178.57999999999998,-263.664,-298.4,85.73599999999999,241.128,138.96800000000002,287.448,151.072,-64.18863999999998,8.12024000000001
58,8.12024000000001,-63.94399999999999,-58.55199999999999,211.8,-178.57999999999998,-263.664,-298.4,85.73599999999999,241.128,138.96800000000002,287.448,151.072,131.69600000000003
59,131.69600000000003,8.12024000000001,-63.94399999999999,-58.55199999999999,211.8,-178.57999999999998,-263.664,-298.4,85.73599999999999,241.128,138.96800000000002,287.448,304.896
