,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,289.0,172.0,169.0,172.0,380.0,365.0,233.0,124.0,121.0,159.0,194.90909,221.63189,374.0,499.0,372.0,321.0,271.0,234.0,333.0,278.0,286.0,338.0,189.67796,171.32204000000002,178.0,195.0
1,374.0,289.0,172.0,169.0,172.0,380.0,365.0,233.0,124.0,121.0,159.0,194.90909,321.0,195.0,499.0,372.0,321.0,271.0,234.0,333.0,278.0,286.0,338.0,189.67796,171.32204000000002,210.0
2,321.0,374.0,289.0,172.0,169.0,172.0,380.0,365.0,233.0,124.0,121.0,159.0,320.0,210.0,195.0,499.0,372.0,321.0,271.0,234.0,333.0,278.0,286.0,338.0,189.67796,387.0
3,320.0,321.0,374.0,289.0,172.0,169.0,172.0,380.0,365.0,233.0,124.0,121.0,209.0,387.0,210.0,195.0,499.0,372.0,321.0,271.0,234.0,333.0,278.0,286.0,338.0,297.0
4,209.0,320.0,321.0,374.0,289.0,172.0,169.0,172.0,380.0,365.0,233.0,124.0,225.0,297.0,387.0,210.0,195.0,499.0,372.0,321.0,271.0,234.0,333.0,278.0,286.0,267.55933
5,225.0,209.0,320.0,321.0,374.0,289.0,172.0,169.0,172.0,380.0,365.0,233.0,326.0,267.55933,297.0,387.0,210.0,195.0,499.0,372.0,321.0,271.0,234.0,333.0,278.0,266.44067
6,326.0,225.0,209.0,320.0,321.0,374.0,289.0,172.0,169.0,172.0,380.0,365.0,454.0,266.44067,267.55933,297.0,387.0,210.0,195.0,499.0,372.0,321.0,271.0,234.0,333.0,292.0
7,454.0,326.0,225.0,209.0,320.0,321.0,374.0,289.0,172.0,169.0,172.0,380.0,469.0,292.0,266.44067,267.55933,297.0,387.0,210.0,195.0,499.0,372.0,321.0,271.0,234.0,269.0
8,469.0,454.0,326.0,225.0,209.0,320.0,321.0,374.0,289.0,172.0,169.0,172.0,322.0,269.0,292.0,266.44067,267.55933,297.0,387.0,210.0,195.0,499.0,372.0,321.0,271.0,284.0
9,322.0,469.0,454.0,326.0,225.0,209.0,320.0,321.0,374.0,289.0,172.0,169.0,234.0,284.0,269.0,292.0,266.44067,267.55933,297.0,387.0,210.0,195.0,499.0,372.0,321.0,281.0
10,234.0,322.0,469.0,454.0,326.0,225.0,209.0,320.0,321.0,374.0,289.0,172.0,234.0,281.0,284.0,269.0,292.0,266.44067,267.55933,297.0,387.0,210.0,195.0,499.0,372.0,327.0
11,234.0,234.0,322.0,469.0,454.0,326.0,225.0,209.0,320.0,321.0,374.0,289.0,327.0,327.0,281.0,284.0,269.0,292.0,266.44067,267.55933,297.0,387.0,210.0,195.0,499.0,488.0
12,327.0,234.0,234.0,322.0,469.0,454.0,326.0,225.0,209.0,320.0,321.0,374.0,366.0,488.0,327.0,281.0,284.0,269.0,292.0,266.44067,267.55933,297.0,387.0,210.0,195.0,437.0
13,366.0,327.0,234.0,234.0,322.0,469.0,454.0,326.0,225.0,209.0,320.0,321.0,294.0,437.0,488.0,327.0,281.0,284.0,269.0,292.0,266.44067,267.55933,297.0,387.0,210.0,373.0
14,294.0,366.0,327.0,234.0,234.0,322.0,469.0,454.0,326.0,225.0,209.0,320.0,195.0,373.0,437.0,488.0,327.0,281.0,284.0,269.0,292.0,266.44067,267.55933,297.0,387.0,360.0
