,0,1,2,3,4,5,6,7,8,9,10,11,12
0,264.37078,255.84270000000004,261.78652,217.0,269.0,243.0,211.0,199.0,231.0,259.0,173.0,18.0,254.0
1,254.0,264.37078,255.84270000000004,261.78652,217.0,269.0,243.0,211.0,199.0,231.0,259.0,173.0,191.0
2,191.0,254.0,264.37078,255.84270000000004,261.78652,217.0,269.0,243.0,211.0,199.0,231.0,259.0,228.0
3,228.0,191.0,254.0,264.37078,255.84270000000004,261.78652,217.0,269.0,243.0,211.0,199.0,231.0,212.0
4,212.0,228.0,191.0,254.0,264.37078,255.84270000000004,261.78652,217.0,269.0,243.0,211.0,199.0,205.0
5,205.0,212.0,228.0,191.0,254.0,264.37078,255.84270000000004,261.78652,217.0,269.0,243.0,211.0,222.0
6,222.0,205.0,212.0,228.0,191.0,254.0,264.37078,255.84270000000004,261.78652,217.0,269.0,243.0,238.0
7,238.0,222.0,205.0,212.0,228.0,191.0,254.0,264.37078,255.84270000000004,261.78652,217.0,269.0,191.0
8,191.0,238.0,222.0,205.0,212.0,228.0,191.0,254.0,264.37078,255.84270000000004,261.78652,217.0,167.0
9,167.0,191.0,238.0,222.0,205.0,212.0,228.0,191.0,254.0,264.37078,255.84270000000004,261.78652,189.0
10,189.0,167.0,191.0,238.0,222.0,205.0,212.0,228.0,191.0,254.0,264.37078,255.84270000000004,189.0
11,189.0,189.0,167.0,191.0,238.0,222.0,205.0,212.0,228.0,191.0,254.0,264.37078,238.0
12,238.0,189.0,189.0,167.0,191.0,238.0,222.0,205.0,212.0,228.0,191.0,254.0,218.0
13,218.0,238.0,189.0,189.0,167.0,191.0,238.0,222.0,205.0,212.0,228.0,191.0,186.0
14,186.0,218.0,238.0,189.0,189.0,167.0,191.0,238.0,222.0,205.0,212.0,228.0,177.0
15,177.0,186.0,218.0,238.0,189.0,189.0,167.0,191.0,238.0,222.0,205.0,212.0,184.0
16,184.0,177.0,186.0,218.0,238.0,189.0,189.0,167.0,191.0,238.0,222.0,205.0,178.0
17,178.0,184.0,177.0,186.0,218.0,238.0,189.0,189.0,167.0,191.0,238.0,222.0,190.0
18,190.0,178.0,184.0,177.0,186.0,218.0,238.0,189.0,189.0,167.0,191.0,238.0,206.0
19,206.0,190.0,178.0,184.0,177.0,186.0,218.0,238.0,189.0,189.0,167.0,191.0,176.0
20,176.0,206.0,190.0,178.0,184.0,177.0,186.0,218.0,238.0,189.0,189.0,167.0,151.0
21,151.0,176.0,206.0,190.0,178.0,184.0,177.0,186.0,218.0,238.0,189.0,189.0,174.0
22,174.0,151.0,176.0,206.0,190.0,178.0,184.0,177.0,186.0,218.0,238.0,189.0,173.0
23,173.0,174.0,151.0,176.0,206.0,190.0,178.0,184.0,177.0,186.0,218.0,238.0,208.0
24,208.0,173.0,174.0,151.0,176.0,206.0,190.0,178.0,184.0,177.0,186.0,218.0,192.0
25,192.0,208.0,173.0,174.0,151.0,176.0,206.0,190.0,178.0,184.0,177.0,186.0,157.0
26,157.0,192.0,208.0,173.0,174.0,151.0,176.0,206.0,190.0,178.0,184.0,177.0,198.0
27,198.0,157.0,192.0,208.0,173.0,174.0,151.0,176.0,206.0,190.0,178.0,184.0,193.0
28,193.0,198.0,157.0,192.0,208.0,173.0,174.0,151.0,176.0,206.0,190.0,178.0,198.0
29,198.0,193.0,198.0,157.0,192.0,208.0,173.0,174.0,151.0,176.0,206.0,190.0,57.0
30,57.0,198.0,193.0,198.0,157.0,192.0,208.0,173.0,174.0,151.0,176.0,206.0,61.0
31,61.0,57.0,198.0,193.0,198.0,157.0,192.0,208.0,173.0,174.0,151.0,176.0,61.0
32,61.0,61.0,57.0,198.0,193.0,198.0,157.0,192.0,208.0,173.0,174.0,151.0,59.0
33,59.0,61.0,61.0,57.0,198.0,193.0,198.0,157.0,192.0,208.0,173.0,174.0,101.0
34,101.0,59.0,61.0,61.0,57.0,198.0,193.0,198.0,157.0,192.0,208.0,173.0,145.0
35,145.0,101.0,59.0,61.0,61.0,57.0,198.0,193.0,198.0,157.0,192.0,208.0,176.0
36,176.0,145.0,101.0,59.0,61.0,61.0,57.0,198.0,193.0,198.0,157.0,192.0,168.0
37,168.0,176.0,145.0,101.0,59.0,61.0,61.0,57.0,198.0,193.0,198.0,157.0,167.0
38,167.0,168.0,176.0,145.0,101.0,59.0,61.0,61.0,57.0,198.0,193.0,198.0,164.0
39,164.0,167.0,168.0,176.0,145.0,101.0,59.0,61.0,61.0,57.0,198.0,193.0,177.0
40,177.0,164.0,167.0,168.0,176.0,145.0,101.0,59.0,61.0,61.0,57.0,198.0,174.0
41,174.0,177.0,164.0,167.0,168.0,176.0,145.0,101.0,59.0,61.0,61.0,57.0,141.0
42,141.0,174.0,177.0,164.0,167.0,168.0,176.0,145.0,101.0,59.0,61.0,61.0,169.0
43,169.0,141.0,174.0,177.0,164.0,167.0,168.0,176.0,145.0,101.0,59.0,61.0,164.0
44,164.0,169.0,141.0,174.0,177.0,164.0,167.0,168.0,176.0,145.0,101.0,59.0,159.0
45,159.0,164.0,169.0,141.0,174.0,177.0,164.0,167.0,168.0,176.0,145.0,101.0,189.0
46,189.0,159.0,164.0,169.0,141.0,174.0,177.0,164.0,167.0,168.0,176.0,145.0,182.0
47,182.0,189.0,159.0,164.0,169.0,141.0,174.0,177.0,164.0,167.0,168.0,176.0,195.0
48,195.0,182.0,189.0,159.0,164.0,169.0,141.0,174.0,177.0,164.0,167.0,168.0,200.0
49,200.0,195.0,182.0,189.0,159.0,164.0,169.0,141.0,174.0,177.0,164.0,167.0,183.0
50,183.0,200.0,195.0,182.0,189.0,159.0,164.0,169.0,141.0,174.0,177.0,164.0,170.0
51,170.0,183.0,200.0,195.0,182.0,189.0,159.0,164.0,169.0,141.0,174.0,177.0,149.0
52,149.0,170.0,183.0,200.0,195.0,182.0,189.0,159.0,164.0,169.0,141.0,174.0,147.0
53,147.0,149.0,170.0,183.0,200.0,195.0,182.0,189.0,159.0,164.0,169.0,141.0,158.0
54,158.0,147.0,149.0,170.0,183.0,200.0,195.0,182.0,189.0,159.0,164.0,169.0,179.0
55,179.0,158.0,147.0,149.0,170.0,183.0,200.0,195.0,182.0,189.0,159.0,164.0,174.0
56,174.0,179.0,158.0,147.0,149.0,170.0,183.0,200.0,195.0,182.0,189.0,159.0,165.0
57,165.0,174.0,179.0,158.0,147.0,149.0,170.0,183.0,200.0,195.0,182.0,189.0,160.0
58,160.0,165.0,174.0,179.0,158.0,147.0,149.0,170.0,183.0,200.0,195.0,182.0,174.0
59,174.0,160.0,165.0,174.0,179.0,158.0,147.0,149.0,170.0,183.0,200.0,195.0,213.0
60,213.0,174.0,160.0,165.0,174.0,179.0,158.0,147.0,149.0,170.0,183.0,200.0,223.0
61,223.0,213.0,174.0,160.0,165.0,174.0,179.0,158.0,147.0,149.0,170.0,183.0,193.0
62,193.0,223.0,213.0,174.0,160.0,165.0,174.0,179.0,158.0,147.0,149.0,170.0,200.0
63,200.0,193.0,223.0,213.0,174.0,160.0,165.0,174.0,179.0,158.0,147.0,149.0,152.0
64,152.0,200.0,193.0,223.0,213.0,174.0,160.0,165.0,174.0,179.0,158.0,147.0,161.0
65,161.0,152.0,200.0,193.0,223.0,213.0,174.0,160.0,165.0,174.0,179.0,158.0,149.0
66,149.0,161.0,152.0,200.0,193.0,223.0,213.0,174.0,160.0,165.0,174.0,179.0,171.0
67,171.0,149.0,161.0,152.0,200.0,193.0,223.0,213.0,174.0,160.0,165.0,174.0,166.0
68,166.0,171.0,149.0,161.0,152.0,200.0,193.0,223.0,213.0,174.0,160.0,165.0,172.0
69,172.0,166.0,171.0,149.0,161.0,152.0,200.0,193.0,223.0,213.0,174.0,160.0,171.0
70,171.0,172.0,166.0,171.0,149.0,161.0,152.0,200.0,193.0,223.0,213.0,174.0,182.0
71,182.0,171.0,172.0,166.0,171.0,149.0,161.0,152.0,200.0,193.0,223.0,213.0,279.0
72,279.0,182.0,171.0,172.0,166.0,171.0,149.0,161.0,152.0,200.0,193.0,223.0,303.0
73,303.0,279.0,182.0,171.0,172.0,166.0,171.0,149.0,161.0,152.0,200.0,193.0,190.0
74,190.0,303.0,279.0,182.0,171.0,172.0,166.0,171.0,149.0,161.0,152.0,200.0,156.0
75,156.0,190.0,303.0,279.0,182.0,171.0,172.0,166.0,171.0,149.0,161.0,152.0,139.0
76,139.0,156.0,190.0,303.0,279.0,182.0,171.0,172.0,166.0,171.0,149.0,161.0,137.0
77,137.0,139.0,156.0,190.0,303.0,279.0,182.0,171.0,172.0,166.0,171.0,149.0,145.0
78,145.0,137.0,139.0,156.0,190.0,303.0,279.0,182.0,171.0,172.0,166.0,171.0,164.0
79,164.0,145.0,137.0,139.0,156.0,190.0,303.0,279.0,182.0,171.0,172.0,166.0,157.0
80,157.0,164.0,145.0,137.0,139.0,156.0,190.0,303.0,279.0,182.0,171.0,172.0,139.0
81,139.0,157.0,164.0,145.0,137.0,139.0,156.0,190.0,303.0,279.0,182.0,171.0,138.0
82,138.0,139.0,157.0,164.0,145.0,137.0,139.0,156.0,190.0,303.0,279.0,182.0,163.0
83,163.0,138.0,139.0,157.0,164.0,145.0,137.0,139.0,156.0,190.0,303.0,279.0,208.0
84,208.0,163.0,138.0,139.0,157.0,164.0,145.0,137.0,139.0,156.0,190.0,303.0,178.0
85,178.0,208.0,163.0,138.0,139.0,157.0,164.0,145.0,137.0,139.0,156.0,190.0,155.0
86,155.0,178.0,208.0,163.0,138.0,139.0,157.0,164.0,145.0,137.0,139.0,156.0,155.0
87,155.0,155.0,178.0,208.0,163.0,138.0,139.0,157.0,164.0,145.0,137.0,139.0,134.0
88,134.0,155.0,155.0,178.0,208.0,163.0,138.0,139.0,157.0,164.0,145.0,137.0,129.0
89,129.0,134.0,155.0,155.0,178.0,208.0,163.0,138.0,139.0,157.0,164.0,145.0,138.0
90,138.0,129.0,134.0,155.0,155.0,178.0,208.0,163.0,138.0,139.0,157.0,164.0,150.0
91,150.0,138.0,129.0,134.0,155.0,155.0,178.0,208.0,163.0,138.0,139.0,157.0,167.0
92,167.0,150.0,138.0,129.0,134.0,155.0,155.0,178.0,208.0,163.0,138.0,139.0,147.0
93,147.0,167.0,150.0,138.0,129.0,134.0,155.0,155.0,178.0,208.0,163.0,138.0,132.315
94,132.315,147.0,167.0,150.0,138.0,129.0,134.0,155.0,155.0,178.0,208.0,163.0,155.706
95,155.706,132.315,147.0,167.0,150.0,138.0,129.0,134.0,155.0,155.0,178.0,208.0,205.302
