,0,1,2,3,4,5,6
0,64.0,78.0,31.0,33.10169,29.898310000000002,33.78378,74.0
1,71.0,64.0,78.0,31.0,33.10169,29.898310000000002,69.0
2,65.0,71.0,64.0,78.0,31.0,33.10169,58.0
3,54.0,65.0,71.0,64.0,78.0,31.0,65.0
4,49.0,54.0,65.0,71.0,64.0,78.0,59.0
5,43.0,49.0,54.0,65.0,71.0,64.0,57.0
6,144.0,43.0,49.0,54.0,65.0,71.0,65.0
7,74.0,144.0,43.0,49.0,54.0,65.0,65.0
8,69.0,74.0,144.0,43.0,49.0,54.0,63.586200000000005
9,58.0,69.0,74.0,144.0,43.0,49.0,68.4138
10,65.0,58.0,69.0,74.0,144.0,43.0,97.0
11,59.0,65.0,58.0,69.0,74.0,144.0,100.0
12,57.0,59.0,65.0,58.0,69.0,74.0,39.0
13,65.0,57.0,59.0,65.0,58.0,69.0,76.0
14,65.0,65.0,57.0,59.0,65.0,58.0,62.0
15,63.586200000000005,65.0,65.0,57.0,59.0,65.0,51.0
16,68.4138,63.586200000000005,65.0,65.0,57.0,59.0,63.0
17,97.0,68.4138,63.586200000000005,65.0,65.0,57.0,57.0
18,100.0,97.0,68.4138,63.586200000000005,65.0,65.0,110.0
19,39.0,100.0,97.0,68.4138,63.586200000000005,65.0,122.0
20,76.0,39.0,100.0,97.0,68.4138,63.586200000000005,106.0
21,62.0,76.0,39.0,100.0,97.0,68.4138,81.0
22,51.0,62.0,76.0,39.0,100.0,97.0,83.0
23,63.0,51.0,62.0,76.0,39.0,100.0,83.0
24,57.0,63.0,51.0,62.0,76.0,39.0,85.0
25,110.0,57.0,63.0,51.0,62.0,76.0,77.0
26,122.0,110.0,57.0,63.0,51.0,62.0,83.0
27,106.0,122.0,110.0,57.0,63.0,51.0,82.0
28,81.0,106.0,122.0,110.0,57.0,63.0,84.0
29,83.0,81.0,106.0,122.0,110.0,57.0,82.0
30,83.0,83.0,81.0,106.0,122.0,110.0,84.0
31,85.0,83.0,83.0,81.0,106.0,122.0,85.0
32,77.0,85.0,83.0,83.0,81.0,106.0,83.0
33,83.0,77.0,85.0,83.0,83.0,81.0,33.0
34,82.0,83.0,77.0,85.0,83.0,83.0,33.0
