,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,2.0,0.0,6.0,4.0,4.0,15.0,14.0,39.0,10.508469999999999,9.491530000000001,27.5,0.0
1,0.0,0.0,2.0,0.0,6.0,4.0,4.0,15.0,14.0,39.0,10.508469999999999,9.491530000000001,7.0
2,7.0,0.0,0.0,2.0,0.0,6.0,4.0,4.0,15.0,14.0,39.0,10.508469999999999,0.0
3,0.0,7.0,0.0,0.0,2.0,0.0,6.0,4.0,4.0,15.0,14.0,39.0,0.0
4,0.0,0.0,7.0,0.0,0.0,2.0,0.0,6.0,4.0,4.0,15.0,14.0,0.0
5,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,6.0,4.0,4.0,15.0,0.0
6,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,6.0,4.0,4.0,9.0
7,9.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,6.0,4.0,33.0
8,33.0,9.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,6.0,62.65517
9,62.65517,33.0,9.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,67.34483
10,67.34483,62.65517,33.0,9.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,98.0
11,98.0,67.34483,62.65517,33.0,9.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,144.0
12,144.0,98.0,67.34483,62.65517,33.0,9.0,0.0,0.0,0.0,0.0,7.0,0.0,151.0
13,151.0,144.0,98.0,67.34483,62.65517,33.0,9.0,0.0,0.0,0.0,0.0,7.0,122.0
14,122.0,151.0,144.0,98.0,67.34483,62.65517,33.0,9.0,0.0,0.0,0.0,0.0,91.0
15,91.0,122.0,151.0,144.0,98.0,67.34483,62.65517,33.0,9.0,0.0,0.0,0.0,94.0
16,94.0,91.0,122.0,151.0,144.0,98.0,67.34483,62.65517,33.0,9.0,0.0,0.0,98.0
17,98.0,94.0,91.0,122.0,151.0,144.0,98.0,67.34483,62.65517,33.0,9.0,0.0,93.0
18,93.0,98.0,94.0,91.0,122.0,151.0,144.0,98.0,67.34483,62.65517,33.0,9.0,97.0
19,97.0,93.0,98.0,94.0,91.0,122.0,151.0,144.0,98.0,67.34483,62.65517,33.0,98.0
20,98.0,97.0,93.0,98.0,94.0,91.0,122.0,151.0,144.0,98.0,67.34483,62.65517,95.0
21,95.0,98.0,97.0,93.0,98.0,94.0,91.0,122.0,151.0,144.0,98.0,67.34483,96.0
22,96.0,95.0,98.0,97.0,93.0,98.0,94.0,91.0,122.0,151.0,144.0,98.0,95.0
23,95.0,96.0,95.0,98.0,97.0,93.0,98.0,94.0,91.0,122.0,151.0,144.0,120.0
