,0,1,2,3,4,5,6,7,8,9,10,11,12
0,309.0,263.0,243.0,233.0,246.0,262.0,271.0,310.0,310.0,351.0,415.73,460.27,313.0
1,313.0,309.0,263.0,243.0,233.0,246.0,262.0,271.0,310.0,310.0,351.0,415.73,278.0
2,278.0,313.0,309.0,263.0,243.0,233.0,246.0,262.0,271.0,310.0,310.0,351.0,281.0
3,281.0,278.0,313.0,309.0,263.0,243.0,233.0,246.0,262.0,271.0,310.0,310.0,225.0
4,225.0,281.0,278.0,313.0,309.0,263.0,243.0,233.0,246.0,262.0,271.0,310.0,222.0
5,222.0,225.0,281.0,278.0,313.0,309.0,263.0,243.0,233.0,246.0,262.0,271.0,188.0
6,188.0,222.0,225.0,281.0,278.0,313.0,309.0,263.0,243.0,233.0,246.0,262.0,163.0
7,163.0,188.0,222.0,225.0,281.0,278.0,313.0,309.0,263.0,243.0,233.0,246.0,169.0
8,169.0,163.0,188.0,222.0,225.0,281.0,278.0,313.0,309.0,263.0,243.0,233.0,199.0
9,199.0,169.0,163.0,188.0,222.0,225.0,281.0,278.0,313.0,309.0,263.0,243.0,252.0
10,252.0,199.0,169.0,163.0,188.0,222.0,225.0,281.0,278.0,313.0,309.0,263.0,265.0
11,265.0,252.0,199.0,169.0,163.0,188.0,222.0,225.0,281.0,278.0,313.0,309.0,280.0
12,280.0,265.0,252.0,199.0,169.0,163.0,188.0,222.0,225.0,281.0,278.0,313.0,278.0
13,278.0,280.0,265.0,252.0,199.0,169.0,163.0,188.0,222.0,225.0,281.0,278.0,255.0
14,255.0,278.0,280.0,265.0,252.0,199.0,169.0,163.0,188.0,222.0,225.0,281.0,273.0
15,273.0,255.0,278.0,280.0,265.0,252.0,199.0,169.0,163.0,188.0,222.0,225.0,262.0
16,262.0,273.0,255.0,278.0,280.0,265.0,252.0,199.0,169.0,163.0,188.0,222.0,230.0
17,230.0,262.0,273.0,255.0,278.0,280.0,265.0,252.0,199.0,169.0,163.0,188.0,211.0
18,211.0,230.0,262.0,273.0,255.0,278.0,280.0,265.0,252.0,199.0,169.0,163.0,220.0
19,220.0,211.0,230.0,262.0,273.0,255.0,278.0,280.0,265.0,252.0,199.0,169.0,233.0
20,233.0,220.0,211.0,230.0,262.0,273.0,255.0,278.0,280.0,265.0,252.0,199.0,247.0
21,247.0,233.0,220.0,211.0,230.0,262.0,273.0,255.0,278.0,280.0,265.0,252.0,295.0
22,295.0,247.0,233.0,220.0,211.0,230.0,262.0,273.0,255.0,278.0,280.0,265.0,319.0
23,319.0,295.0,247.0,233.0,220.0,211.0,230.0,262.0,273.0,255.0,278.0,280.0,330.0
24,330.0,319.0,295.0,247.0,233.0,220.0,211.0,230.0,262.0,273.0,255.0,278.0,332.0
25,332.0,330.0,319.0,295.0,247.0,233.0,220.0,211.0,230.0,262.0,273.0,255.0,300.0
26,300.0,332.0,330.0,319.0,295.0,247.0,233.0,220.0,211.0,230.0,262.0,273.0,317.0
27,317.0,300.0,332.0,330.0,319.0,295.0,247.0,233.0,220.0,211.0,230.0,262.0,271.0
28,271.0,317.0,300.0,332.0,330.0,319.0,295.0,247.0,233.0,220.0,211.0,230.0,253.0
29,253.0,271.0,317.0,300.0,332.0,330.0,319.0,295.0,247.0,233.0,220.0,211.0,239.0
30,239.0,253.0,271.0,317.0,300.0,332.0,330.0,319.0,295.0,247.0,233.0,220.0,200.0
31,200.0,239.0,253.0,271.0,317.0,300.0,332.0,330.0,319.0,295.0,247.0,233.0,178.0
