      MAE    RMSE
0: 0.017620936515600774  0.024220944766603213
1: 0.011373680720830524  0.01413676440066951
100: 0.08722826570568483  0.10041663373716223
102: 0.06951537297802916  0.09205904277667742
105: 0.25231558662856884  0.28500696537929304
109: 0.02992607459938999  0.031900980491842534
106: 0.018380558157547258  0.02336604411209261
110: 0.09528847420450536  0.09600761529695055
114: 0.043814285586663275  0.05269288306774475
120: 0.034040233059864984  0.038076950821276254
2: 0.009831979893888175  0.011220619194459708
108: 0.03251493758432285  0.036386330021722764
111: 0.034518060814229916  0.03578314674041574
112: 0.07742138620135879  0.08848375196927229
113: 0.35438914339561717  0.3999037761528399
121: 0.05541483363327506  0.05571016896380918
107: 0.049481266414308805  0.05202067166061144
119: 0.04783591767474967  0.05505497934550443
116: 0.06517066616858268  0.0750558676007388
118: 0.05347785434867334  0.0641655602457243
115: 0.06533768938593294  0.11648859258278221
117: 0.07759352360370438  0.08825761864242657
125: 0.15527143981510402  0.18839883273973446
124: 0.24878579928156408  0.26261222407784907
153: 0.06910970465501272  0.09725928866153273
126: 0.08169351375730093  0.09636771577183176
128: 0.18528961678425912  0.19014361225851
127: 0.10358511060791953  0.10804975697457686
132: 0.05601475684396771  0.06604498572378491
129: 0.023318170022646727  0.02670492364688823
130: 0.07631197585161117  0.07634488789482709

122: 0.06762023937019446  0.06797167202021982
131: 0.1044084917953767  0.10503280394517946
123: 0.04281875125378103  0.04312546886021735
140: 0.1506669139492486  0.17557431458668302
141: 0.1537403101944409  0.1722468403606039
150: 0.05090118516530622  0.06271438821928743
149: 0.03891039585976185  0.04472646143755381
147: 0.02793431072238729  0.028016077294016114
135: 0.09805918424287742  0.09824822285538211
136: 0.008876870509940358  0.010741037445316471
137: 0.04728039736196717  0.047450809847021824
134: 0.04250272687105666  0.048182134921767074
148: 0.0056678139247106725  0.007139439783617602
152: 0.04317201803655887  0.05001133149734182
151: 0.018917181286454154  0.020674360639057154
146: 0.030898907729173253  0.03929833054245767
139: 0.0371979145795077  0.04647114275597809
138: 0.02038274101292716  0.023312089145533402
145: 0.0447685108520402  0.05090660801017045
144: 0.036997275471527875  0.04648204568565085
143: 0.027722918441745185  0.029721432587752047
142: 0.24674179460554213  0.2808727783720573
36: 0.045147135266551265  0.06165136566138093
34: 0.03446707242315867  0.04552453666299975
40: 0.09107463809456488  0.10682645556565572
38: 0.06367053869697782  0.06752878149264008
39: 0.07897176874065238  0.09158461249906708
35: 0.013529537692415194  0.017218173140945484
37: 0.05302363689399329  0.0868933170451286
57: 0.036223663979516436  0.039675834544464425
90: 0.026520219456736643  0.02779987675206188
49: 0.02861658240046358  0.03273043042711611
53: 0.018090337553154354  0.02641292087660821
54: 0.022089220120653247  0.03400397523865756
93: 0.01550464296313834  0.020869464541394316
31: 0.029413981616059192  0.03205539907669981
96: 0.00939236400985514  0.011753622006600673

97: 0.03191712605019227  0.045344471113232386
95: 0.04638634675837091  0.0556835599415952
69: 0.08889373274360678  0.09447297042905636
67: 0.039386533143638  0.04359130655221394
92: 0.008353375855443754  0.00870364552093492
72: 0.022880968058513706  0.033075119064749345
71: 0.017531069155067094  0.022036757961832538
70: 0.02979242889745201  0.03779084538996964
61: 0.047835715296719546  0.05291989416435568
64: 0.05592324020012809  0.06813968099716618
66: 0.015694574508916315  0.023654279523930396
62: 0.008291089612898053  0.012381995563416638
60: 0.0954015755099239  0.11523406433059658
63: 0.018189962240606445  0.018950892970492884
89: 0.010496668420646055  0.01382703047899732
88: 0.05184214799960374  0.09151878425676747
65: 0.04281461265819723  0.04481786072834359
58: 0.04263752867957437  0.050974263399174186
68: 0.04151780492296662  0.0663306426011957
51: 0.08377960802988392  0.09953990134357
91: 0.014073845564693618  0.023073101786371175
98: 0.08465767822815178  0.10504526416680261
56: 0.03343214105498581  0.039028192105842435
94: 0.009180566028015882  0.011284628150199922
50: 0.030458459477776475  0.03733533655850028
87: 0.008136012622925598  0.011626084981749113
86: 0.009499230489004492  0.012318173199983221
48: 0.025143151106868645  0.027943396442771173
59: 0.03784331400361495  0.052836758984343674
99: 0.07816717537700728  0.0880218402121154
52: 0.023527992139895818  0.028370095049882763
55: 0.024946036322502977  0.03730318440076506
