      MAE    RMSE
105: 0.28197261290331005  0.33599924044615176
106: 0.12009382631800199  0.16766363301853007
100: 0.17690779447920688  0.19686603877377443
153: 0.14112494818015142  0.15653318377820483
143: 0.2813085000847911  0.2816863688318227
108: 0.10253616129986869  0.11983178894940037
84: 0.19368528374573132  0.2072850868295095
3: 0.1509830491935885  0.20041544242995402
113: 0.19415802092779244  0.2705644236527862
114: 0.058449461040023215  0.0707665883777736
119: 0.08404131089107648  0.11415235036031987
7: 0.05357097291465929  0.06885817129879199
110: 0.11175660485030765  0.11275746662230972
16: 0.06302541709639918  0.07606726249904379
21: 0.0476593075516219  0.0514045176589058
126: 0.08514443798550923  0.10073481232798202
6: 0.08751328038242334  0.11373564016656382
20: 0.041250194859673094  0.044099800217672534
2: 0.03199629965426082  0.03937483407983922
97: 0.0708599614272963  0.14129177688309272
22: 0.05048824967161986  0.05556051703961467
115: 0.17160029010929675  0.22328721732680848
145: 0.08545241440082535  0.09649608395692842
95: 0.09023561416851418  0.12543486733200596
147: 0.026164428984511694  0.03184109002117088
136: 0.039168054701968026  0.04147172039889064
137: 0.022280681257431156  0.029091829389571087
127: 0.0459701149728769  0.05839225414383975
132: 0.08431279316240176  0.10419542005838514
67: 0.12890705562152352  0.13959149996534378
92: 0.014751555209953344  0.015818586002091538
131: 0.09228305598096935  0.10771515666174693
15: 0.09336525791469419  0.09472018302453596
102: 0.06553199340461016  0.07924451948282477
14: 0.018409920691223332  0.02662510198462062
111: 0.09661556543799928  0.13654752223185548
101: 0.015402443835491525  0.01678731303623955
117: 0.08555701932269344  0.10406156287809364
129: 0.03584482428205175  0.042231866236111276
83: 0.08714387615157139  0.09590781840985996
62: 0.034879926949260516  0.04323122979443136
63: 0.035786674005085166  0.03718275570901274
89: 0.09219766159328603  0.10319877632171551
91: 0.07047483361237032  0.08789410954909803
86: 0.03646124213355356  0.041104173628880004
121: 0.038250527519939355  0.04551453849211125
33: 0.0006517625712804563  0.0016591169371602092
48: 0.034202351083979975  0.04516243106262945
82: 0.035366838188524256  0.038680912044078704
107: 0.04490538886238127  0.07432900953799143
32: 0.06329427525118388  0.07012320982596093
80: 0.09369971277572876  0.10290790403015265
122: 0.05332809868269416  0.05537249774909653
123: 0.0517188621453453  0.06700457993977871
56: 0.12142590745588318  0.12841294233158346
124: 0.14636343506259866  0.16431348599864476
8: 0.19375845225011146  0.24451316576152715
134: 0.45346603936147717  0.46474934631810877
140: 0.15430846506034604  0.17265773181029362
141: 0.2204336181394538  0.289971146430801
103: 0.12273010880370827  0.15508059760454082
142: 0.14451769266180073  0.1746225962106524
146: 0.05408498408651862  0.06103100560160427
120: 0.18140042201071535  0.1924528422905116
29: 0.0838710904826286  0.0910863026094573
27: 0.11277721852268784  0.1330418398795587
26: 0.0949438922237006  0.116207685151953
152: 0.16823325132122657  0.1787883896673918
51: 0.06584057959454333  0.07661237655866239
19: 0.19108115383734833  0.21577647153291643
24: 0.06271862480689935  0.06728154858091209
25: 0.05041681723962949  0.0556996336843244
64: 0.10836822864202045  0.14133475799532627
30: 0.123739040823036  0.1469237050150914
49: 0.11680033319474338  0.12819094839247097
9: 0.07044645262331216  0.0972067648176048
12: 0.04046556964059677  0.04861304386159129
1: 0.07242591219246859  0.0857216915297419
40: 0.09594557994414703  0.10217681121603198
39: 0.12559495814846153  0.1452408278093055
112: 0.13529523169069593  0.166909235820216
58: 0.11916448601098399  0.1545644445653457
98: 0.1529938451796197  0.211078612232592
