,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0,499.0,372.0,321.0,271.0,234.0,333.0,278.0,286.0,338.0,189.67796,171.32204000000002,178.0,195.0
1,1,195.0,499.0,372.0,321.0,271.0,234.0,333.0,278.0,286.0,338.0,189.67796,171.32204000000002,210.0
2,2,210.0,195.0,499.0,372.0,321.0,271.0,234.0,333.0,278.0,286.0,338.0,189.67796,387.0
3,3,387.0,210.0,195.0,499.0,372.0,321.0,271.0,234.0,333.0,278.0,286.0,338.0,297.0
4,4,297.0,387.0,210.0,195.0,499.0,372.0,321.0,271.0,234.0,333.0,278.0,286.0,267.55933
5,5,267.55933,297.0,387.0,210.0,195.0,499.0,372.0,321.0,271.0,234.0,333.0,278.0,266.44067
6,6,266.44067,267.55933,297.0,387.0,210.0,195.0,499.0,372.0,321.0,271.0,234.0,333.0,292.0
7,7,292.0,266.44067,267.55933,297.0,387.0,210.0,195.0,499.0,372.0,321.0,271.0,234.0,269.0
8,8,269.0,292.0,266.44067,267.55933,297.0,387.0,210.0,195.0,499.0,372.0,321.0,271.0,284.0
9,9,284.0,269.0,292.0,266.44067,267.55933,297.0,387.0,210.0,195.0,499.0,372.0,321.0,281.0
10,10,281.0,284.0,269.0,292.0,266.44067,267.55933,297.0,387.0,210.0,195.0,499.0,372.0,327.0
11,11,327.0,281.0,284.0,269.0,292.0,266.44067,267.55933,297.0,387.0,210.0,195.0,499.0,488.0
12,12,488.0,327.0,281.0,284.0,269.0,292.0,266.44067,267.55933,297.0,387.0,210.0,195.0,437.0
13,13,437.0,488.0,327.0,281.0,284.0,269.0,292.0,266.44067,267.55933,297.0,387.0,210.0,373.0
14,14,373.0,437.0,488.0,327.0,281.0,284.0,269.0,292.0,266.44067,267.55933,297.0,387.0,360.0
15,15,360.0,373.0,437.0,488.0,327.0,281.0,284.0,269.0,292.0,266.44067,267.55933,297.0,304.0
16,16,304.0,360.0,373.0,437.0,488.0,327.0,281.0,284.0,269.0,292.0,266.44067,267.55933,295.0
17,17,295.0,304.0,360.0,373.0,437.0,488.0,327.0,281.0,284.0,269.0,292.0,266.44067,314.0
18,18,314.0,295.0,304.0,360.0,373.0,437.0,488.0,327.0,281.0,284.0,269.0,292.0,297.0
19,19,297.0,314.0,295.0,304.0,360.0,373.0,437.0,488.0,327.0,281.0,284.0,269.0,300.0
20,20,300.0,297.0,314.0,295.0,304.0,360.0,373.0,437.0,488.0,327.0,281.0,284.0,281.0
21,21,281.0,300.0,297.0,314.0,295.0,304.0,360.0,373.0,437.0,488.0,327.0,281.0,319.0
22,22,319.0,281.0,300.0,297.0,314.0,295.0,304.0,360.0,373.0,437.0,488.0,327.0,342.0
23,23,342.0,319.0,281.0,300.0,297.0,314.0,295.0,304.0,360.0,373.0,437.0,488.0,266.0
24,24,266.0,342.0,319.0,281.0,300.0,297.0,314.0,295.0,304.0,360.0,373.0,437.0,178.0
25,25,178.0,266.0,342.0,319.0,281.0,300.0,297.0,314.0,295.0,304.0,360.0,373.0,128.0
26,26,128.0,178.0,266.0,342.0,319.0,281.0,300.0,297.0,314.0,295.0,304.0,360.0,341.0
27,27,341.0,128.0,178.0,266.0,342.0,319.0,281.0,300.0,297.0,314.0,295.0,304.0,343.0
28,28,343.0,341.0,128.0,178.0,266.0,342.0,319.0,281.0,300.0,297.0,314.0,295.0,352.0
29,29,352.0,343.0,341.0,128.0,178.0,266.0,342.0,319.0,281.0,300.0,297.0,314.0,331.0
30,30,331.0,352.0,343.0,341.0,128.0,178.0,266.0,342.0,319.0,281.0,300.0,297.0,330.0
31,31,330.0,331.0,352.0,343.0,341.0,128.0,178.0,266.0,342.0,319.0,281.0,300.0,329.0
32,32,329.0,330.0,331.0,352.0,343.0,341.0,128.0,178.0,266.0,342.0,319.0,281.0,302.0
33,33,302.0,329.0,330.0,331.0,352.0,343.0,341.0,128.0,178.0,266.0,342.0,319.0,318.0
34,34,318.0,302.0,329.0,330.0,331.0,352.0,343.0,341.0,128.0,178.0,266.0,342.0,359.0
35,35,359.0,318.0,302.0,329.0,330.0,331.0,352.0,343.0,341.0,128.0,178.0,266.0,174.0
36,36,174.0,359.0,318.0,302.0,329.0,330.0,331.0,352.0,343.0,341.0,128.0,178.0,146.0
37,37,146.0,174.0,359.0,318.0,302.0,329.0,330.0,331.0,352.0,343.0,341.0,128.0,123.0
38,38,123.0,146.0,174.0,359.0,318.0,302.0,329.0,330.0,331.0,352.0,343.0,341.0,452.0
39,39,452.0,123.0,146.0,174.0,359.0,318.0,302.0,329.0,330.0,331.0,352.0,343.0,398.0
40,40,398.0,452.0,123.0,146.0,174.0,359.0,318.0,302.0,329.0,330.0,331.0,352.0,399.0
41,41,399.0,398.0,452.0,123.0,146.0,174.0,359.0,318.0,302.0,329.0,330.0,331.0,335.0
42,42,335.0,399.0,398.0,452.0,123.0,146.0,174.0,359.0,318.0,302.0,329.0,330.0,331.0
43,43,331.0,335.0,399.0,398.0,452.0,123.0,146.0,174.0,359.0,318.0,302.0,329.0,338.0
44,44,338.0,331.0,335.0,399.0,398.0,452.0,123.0,146.0,174.0,359.0,318.0,302.0,336.0
45,45,336.0,338.0,331.0,335.0,399.0,398.0,452.0,123.0,146.0,174.0,359.0,318.0,377.0
46,46,377.0,336.0,338.0,331.0,335.0,399.0,398.0,452.0,123.0,146.0,174.0,359.0,408.0
47,47,408.0,377.0,336.0,338.0,331.0,335.0,399.0,398.0,452.0,123.0,146.0,174.0,453.0
48,48,453.0,408.0,377.0,336.0,338.0,331.0,335.0,399.0,398.0,452.0,123.0,146.0,508.0
49,49,508.0,453.0,408.0,377.0,336.0,338.0,331.0,335.0,399.0,398.0,452.0,123.0,420.0
50,50,420.0,508.0,453.0,408.0,377.0,336.0,338.0,331.0,335.0,399.0,398.0,452.0,472.0
51,51,472.0,420.0,508.0,453.0,408.0,377.0,336.0,338.0,331.0,335.0,399.0,398.0,194.0
52,52,194.0,472.0,420.0,508.0,453.0,408.0,377.0,336.0,338.0,331.0,335.0,399.0,149.0
53,53,149.0,194.0,472.0,420.0,508.0,453.0,408.0,377.0,336.0,338.0,331.0,335.0,152.0
54,54,152.0,149.0,194.0,472.0,420.0,508.0,453.0,408.0,377.0,336.0,338.0,331.0,264.0
55,55,264.0,152.0,149.0,194.0,472.0,420.0,508.0,453.0,408.0,377.0,336.0,338.0,213.0
56,56,213.0,264.0,152.0,149.0,194.0,472.0,420.0,508.0,453.0,408.0,377.0,336.0,161.0
57,57,161.0,213.0,264.0,152.0,149.0,194.0,472.0,420.0,508.0,453.0,408.0,377.0,138.0
58,58,138.0,161.0,213.0,264.0,152.0,149.0,194.0,472.0,420.0,508.0,453.0,408.0,133.0
59,59,133.0,138.0,161.0,213.0,264.0,152.0,149.0,194.0,472.0,420.0,508.0,453.0,164.0
60,60,164.0,133.0,138.0,161.0,213.0,264.0,152.0,149.0,194.0,472.0,420.0,508.0,171.0
61,61,171.0,164.0,133.0,138.0,161.0,213.0,264.0,152.0,149.0,194.0,472.0,420.0,156.0
62,62,156.0,171.0,164.0,133.0,138.0,161.0,213.0,264.0,152.0,149.0,194.0,472.0,146.0
63,63,146.0,156.0,171.0,164.0,133.0,138.0,161.0,213.0,264.0,152.0,149.0,194.0,144.0
64,64,144.0,146.0,156.0,171.0,164.0,133.0,138.0,161.0,213.0,264.0,152.0,149.0,157.0
65,65,157.0,144.0,146.0,156.0,171.0,164.0,133.0,138.0,161.0,213.0,264.0,152.0,178.0
66,66,178.0,157.0,144.0,146.0,156.0,171.0,164.0,133.0,138.0,161.0,213.0,264.0,260.0
67,67,260.0,178.0,157.0,144.0,146.0,156.0,171.0,164.0,133.0,138.0,161.0,213.0,196.0
68,68,196.0,260.0,178.0,157.0,144.0,146.0,156.0,171.0,164.0,133.0,138.0,161.0,157.0
69,69,157.0,196.0,260.0,178.0,157.0,144.0,146.0,156.0,171.0,164.0,133.0,138.0,142.0
70,70,142.0,157.0,196.0,260.0,178.0,157.0,144.0,146.0,156.0,171.0,164.0,133.0,144.0
