,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
0,289.0,172.0,169.0,172.0,380.0,365.0,233.0,124.0,121.0,159.0,194.90909,221.63189,374.0,92.0,42.0,47.0,48.0,50.0,33.0,31.0,30.0,23.0,39.0,56.0,18.0,77.0,93.0,70.0,69.0,53.0,106.0,97.0,88.0,65.0,38.0,32.0,31.0,38.0,50.0,144.0,121.0,124.0,144.0,178.0,151.0,129.0,118.0,116.0,137.0,128.0,154.0,144.0,344.69048,318.61905,382.69566,362.51863,475.33117,516.45455,453.0,402.11111,305.88889,284.77966000000004,257.22034,290.0,344.69048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,135.0,140.0,136.0,139.0,140.0,136.0,140.0,135.0,140.0,126.0,140.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,374.0,289.0,172.0,169.0,172.0,380.0,365.0,233.0,124.0,121.0,159.0,194.90909,321.0,77.0,92.0,42.0,47.0,48.0,50.0,33.0,31.0,30.0,23.0,39.0,56.0,83.0,50.0,93.0,70.0,69.0,53.0,106.0,97.0,88.0,65.0,38.0,32.0,31.0,45.0,144.0,144.0,121.0,124.0,144.0,178.0,151.0,129.0,118.0,116.0,137.0,128.0,119.0,344.69048,344.69048,318.61905,382.69566,362.51863,475.33117,516.45455,453.0,402.11111,305.88889,284.77966000000004,257.22034,287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,140.0,135.0,140.0,136.0,139.0,140.0,136.0,140.0,135.0,140.0,126.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,321.0,374.0,289.0,172.0,169.0,172.0,380.0,365.0,233.0,124.0,121.0,159.0,320.0,83.0,77.0,92.0,42.0,47.0,48.0,50.0,33.0,31.0,30.0,23.0,39.0,68.0,45.0,50.0,93.0,70.0,69.0,53.0,106.0,97.0,88.0,65.0,38.0,32.0,51.0,119.0,144.0,144.0,121.0,124.0,144.0,178.0,151.0,129.0,118.0,116.0,137.0,121.0,287.0,344.69048,344.69048,318.61905,382.69566,362.51863,475.33117,516.45455,453.0,402.11111,305.88889,284.77966000000004,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,140.0,140.0,135.0,140.0,136.0,139.0,140.0,136.0,140.0,135.0,140.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,320.0,321.0,374.0,289.0,172.0,169.0,172.0,380.0,365.0,233.0,124.0,121.0,209.0,68.0,83.0,77.0,92.0,42.0,47.0,48.0,50.0,33.0,31.0,30.0,23.0,59.0,51.0,45.0,50.0,93.0,70.0,69.0,53.0,106.0,97.0,88.0,65.0,38.0,66.0,121.0,119.0,144.0,144.0,121.0,124.0,144.0,178.0,151.0,129.0,118.0,116.0,108.0,316.0,287.0,344.69048,344.69048,318.61905,382.69566,362.51863,475.33117,516.45455,453.0,402.11111,305.88889,402.36666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,126.0,140.0,140.0,135.0,140.0,136.0,139.0,140.0,136.0,140.0,135.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,209.0,320.0,321.0,374.0,289.0,172.0,169.0,172.0,380.0,365.0,233.0,124.0,225.0,59.0,68.0,83.0,77.0,92.0,42.0,47.0,48.0,50.0,33.0,31.0,30.0,59.0,66.0,51.0,45.0,50.0,93.0,70.0,69.0,53.0,106.0,97.0,88.0,65.0,111.0,108.0,121.0,119.0,144.0,144.0,121.0,124.0,144.0,178.0,151.0,129.0,118.0,128.0,402.36666,316.0,287.0,344.69048,344.69048,318.61905,382.69566,362.51863,475.33117,516.45455,453.0,402.11111,422.63334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,140.0,126.0,140.0,140.0,135.0,140.0,136.0,139.0,140.0,136.0,140.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,225.0,209.0,320.0,321.0,374.0,289.0,172.0,169.0,172.0,380.0,365.0,233.0,326.0,59.0,59.0,68.0,83.0,77.0,92.0,42.0,47.0,48.0,50.0,33.0,31.0,57.0,111.0,66.0,51.0,45.0,50.0,93.0,70.0,69.0,53.0,106.0,97.0,88.0,156.0,128.0,108.0,121.0,119.0,144.0,144.0,121.0,124.0,144.0,178.0,151.0,129.0,129.0,422.63334,402.36666,316.0,287.0,344.69048,344.69048,318.61905,382.69566,362.51863,475.33117,516.45455,453.0,383.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,135.0,140.0,126.0,140.0,140.0,135.0,140.0,136.0,139.0,140.0,136.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,326.0,225.0,209.0,320.0,321.0,374.0,289.0,172.0,169.0,172.0,380.0,365.0,454.0,57.0,59.0,59.0,68.0,83.0,77.0,92.0,42.0,47.0,48.0,50.0,33.0,85.0,156.0,111.0,66.0,51.0,45.0,50.0,93.0,70.0,69.0,53.0,106.0,97.0,213.0,129.0,128.0,108.0,121.0,119.0,144.0,144.0,121.0,124.0,144.0,178.0,151.0,169.0,383.875,422.63334,402.36666,316.0,287.0,344.69048,344.69048,318.61905,382.69566,362.51863,475.33117,516.45455,453.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,140.0,135.0,140.0,126.0,140.0,140.0,135.0,140.0,136.0,139.0,140.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,454.0,326.0,225.0,209.0,320.0,321.0,374.0,289.0,172.0,169.0,172.0,380.0,469.0,85.0,57.0,59.0,59.0,68.0,83.0,77.0,92.0,42.0,47.0,48.0,50.0,88.0,213.0,156.0,111.0,66.0,51.0,45.0,50.0,93.0,70.0,69.0,53.0,106.0,243.0,169.0,129.0,128.0,108.0,121.0,119.0,144.0,144.0,121.0,124.0,144.0,178.0,178.0,453.125,383.875,422.63334,402.36666,316.0,287.0,344.69048,344.69048,318.61905,382.69566,362.51863,475.33117,458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,136.0,140.0,135.0,140.0,126.0,140.0,140.0,135.0,140.0,136.0,139.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,469.0,454.0,326.0,225.0,209.0,320.0,321.0,374.0,289.0,172.0,169.0,172.0,322.0,88.0,85.0,57.0,59.0,59.0,68.0,83.0,77.0,92.0,42.0,47.0,48.0,89.0,243.0,213.0,156.0,111.0,66.0,51.0,45.0,50.0,93.0,70.0,69.0,53.0,195.0,178.0,169.0,129.0,128.0,108.0,121.0,119.0,144.0,144.0,121.0,124.0,144.0,174.0,458.0,453.125,383.875,422.63334,402.36666,316.0,287.0,344.69048,344.69048,318.61905,382.69566,362.51863,444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,139.0,136.0,140.0,135.0,140.0,126.0,140.0,140.0,135.0,140.0,136.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,322.0,469.0,454.0,326.0,225.0,209.0,320.0,321.0,374.0,289.0,172.0,169.0,234.0,89.0,88.0,85.0,57.0,59.0,59.0,68.0,83.0,77.0,92.0,42.0,47.0,81.0,195.0,243.0,213.0,156.0,111.0,66.0,51.0,45.0,50.0,93.0,70.0,69.0,127.0,174.0,178.0,169.0,129.0,128.0,108.0,121.0,119.0,144.0,144.0,121.0,124.0,129.0,444.0,458.0,453.125,383.875,422.63334,402.36666,316.0,287.0,344.69048,344.69048,318.61905,382.69566,460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,140.0,139.0,136.0,140.0,135.0,140.0,126.0,140.0,140.0,135.0,140.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
