,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0,22.0,8.0,220.0,244.0,286.0,270.0,235.0,46.0,16.0,9.0,7.0,20.0,8.0,615.0,553.0,524.0,443.0,517.0,478.0,402.0,424.0,405.0,359.0,271.0,307.0,530.0,310.34427000000005,219.0,185.0,154.0,245.0,251.0,274.0,291.0,243.0,265.0,296.0,303.0,319.65573,15.0,25.0,15.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,9.49153,10.50847,24.0,28.03278,27.0,42.0,52.0,86.0,116.0,110.0,76.0,53.0,43.0,44.0,30.0,28.96722
1,8.0,22.0,8.0,220.0,244.0,286.0,270.0,235.0,46.0,16.0,9.0,7.0,9.0,530.0,615.0,553.0,524.0,443.0,517.0,478.0,402.0,424.0,405.0,359.0,271.0,493.0,319.65573,310.34427000000005,219.0,185.0,154.0,245.0,251.0,274.0,291.0,243.0,265.0,296.0,314.0,24.0,15.0,25.0,15.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,9.49153,11.0,28.96722,28.03278,27.0,42.0,52.0,86.0,116.0,110.0,76.0,53.0,43.0,44.0,29.0
2,9.0,8.0,22.0,8.0,220.0,244.0,286.0,270.0,235.0,46.0,16.0,9.0,11.0,493.0,530.0,615.0,553.0,524.0,443.0,517.0,478.0,402.0,424.0,405.0,359.0,529.0,314.0,319.65573,310.34427000000005,219.0,185.0,154.0,245.0,251.0,274.0,291.0,243.0,265.0,326.0,11.0,24.0,15.0,25.0,15.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,21.0,29.0,28.96722,28.03278,27.0,42.0,52.0,86.0,116.0,110.0,76.0,53.0,43.0,42.0
3,11.0,9.0,8.0,22.0,8.0,220.0,244.0,286.0,270.0,235.0,46.0,16.0,33.0,529.0,493.0,530.0,615.0,553.0,524.0,443.0,517.0,478.0,402.0,424.0,405.0,447.0,326.0,314.0,319.65573,310.34427000000005,219.0,185.0,154.0,245.0,251.0,274.0,291.0,243.0,289.0,21.0,11.0,24.0,15.0,25.0,15.0,2.0,8.0,1.0,0.0,0.0,0.0,17.0,42.0,29.0,28.96722,28.03278,27.0,42.0,52.0,86.0,116.0,110.0,76.0,53.0,58.0
4,33.0,11.0,9.0,8.0,22.0,8.0,220.0,244.0,286.0,270.0,235.0,46.0,48.0,447.0,529.0,493.0,530.0,615.0,553.0,524.0,443.0,517.0,478.0,402.0,424.0,434.0,289.0,326.0,314.0,319.65573,310.34427000000005,219.0,185.0,154.0,245.0,251.0,274.0,291.0,313.0,17.0,21.0,11.0,24.0,15.0,25.0,15.0,2.0,8.0,1.0,0.0,0.0,10.0,58.0,42.0,29.0,28.96722,28.03278,27.0,42.0,52.0,86.0,116.0,110.0,76.0,75.0
5,48.0,33.0,11.0,9.0,8.0,22.0,8.0,220.0,244.0,286.0,270.0,235.0,147.0,434.0,447.0,529.0,493.0,530.0,615.0,553.0,524.0,443.0,517.0,478.0,402.0,468.0,313.0,289.0,326.0,314.0,319.65573,310.34427000000005,219.0,185.0,154.0,245.0,251.0,274.0,279.0,10.0,17.0,21.0,11.0,24.0,15.0,25.0,15.0,2.0,8.0,1.0,0.0,62.0,75.0,58.0,42.0,29.0,28.96722,28.03278,27.0,42.0,52.0,86.0,116.0,110.0,136.0
6,147.0,48.0,33.0,11.0,9.0,8.0,22.0,8.0,220.0,244.0,286.0,270.0,315.0,468.0,434.0,447.0,529.0,493.0,530.0,615.0,553.0,524.0,443.0,517.0,478.0,574.0,279.0,313.0,289.0,326.0,314.0,319.65573,310.34427000000005,219.0,185.0,154.0,245.0,251.0,294.0,62.0,10.0,17.0,21.0,11.0,24.0,15.0,25.0,15.0,2.0,8.0,1.0,109.0,136.0,75.0,58.0,42.0,29.0,28.96722,28.03278,27.0,42.0,52.0,86.0,116.0,132.0
7,315.0,147.0,48.0,33.0,11.0,9.0,8.0,22.0,8.0,220.0,244.0,286.0,280.0,574.0,468.0,434.0,447.0,529.0,493.0,530.0,615.0,553.0,524.0,443.0,517.0,583.0,294.0,279.0,313.0,289.0,326.0,314.0,319.65573,310.34427000000005,219.0,185.0,154.0,245.0,346.0,109.0,62.0,10.0,17.0,21.0,11.0,24.0,15.0,25.0,15.0,2.0,8.0,149.0,132.0,136.0,75.0,58.0,42.0,29.0,28.96722,28.03278,27.0,42.0,52.0,86.0,117.0
8,280.0,315.0,147.0,48.0,33.0,11.0,9.0,8.0,22.0,8.0,220.0,244.0,301.63794,583.0,574.0,468.0,434.0,447.0,529.0,493.0,530.0,615.0,553.0,524.0,443.0,364.63794,346.0,294.0,279.0,313.0,289.0,326.0,314.0,319.65573,310.34427000000005,219.0,185.0,154.0,318.27586,149.0,109.0,62.0,10.0,17.0,21.0,11.0,24.0,15.0,25.0,15.0,2.0,145.0,117.0,132.0,136.0,75.0,58.0,42.0,29.0,28.96722,28.03278,27.0,42.0,52.0,80.48276
9,301.63794,280.0,315.0,147.0,48.0,33.0,11.0,9.0,8.0,22.0,8.0,220.0,323.36206000000004,364.63794,583.0,574.0,468.0,434.0,447.0,529.0,493.0,530.0,615.0,553.0,524.0,354.36206000000004,318.27586,346.0,294.0,279.0,313.0,289.0,326.0,314.0,319.65573,310.34427000000005,219.0,185.0,336.72414,145.0,149.0,109.0,62.0,10.0,17.0,21.0,11.0,24.0,15.0,25.0,15.0,114.0,80.48276,117.0,132.0,136.0,75.0,58.0,42.0,29.0,28.96722,28.03278,27.0,42.0,85.51724
