,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
0,402.0,268.0,836.0,953.0,1375.0,1160.0,462.0,-145.0,-348.0,-206.0,359.0,433.0,261.0,514.47315,497.87724,514.47315,497.87724,514.47315,514.47315,497.87724,514.47315,497.87724,514.47315,464.68542,514.47315,514.47315,325.0,294.0,260.0,298.0,367.0,338.0,355.0,269.0,248.0,310.0,243.45763,269.54237,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,320.0,0.0,136.0,135.0,140.0,133.0,118.0,114.0,108.0,117.0,137.0,150.0,162.09756000000002,198.55818,169.0,1.0,7.0,10.0,20.0,50.0,43.0,28.0,34.0,9.0,8.0,3.8,6.67541,2.0,497.0,395.0,389.0,339.0,589.0,610.0,503.0,375.0,295.0,340.0,243.0,343.0,562.0
1,261.0,402.0,268.0,836.0,953.0,1375.0,1160.0,462.0,-145.0,-348.0,-206.0,359.0,-199.0,514.47315,514.47315,497.87724,514.47315,497.87724,514.47315,514.47315,497.87724,514.47315,497.87724,514.47315,464.68542,464.68542,332.0,325.0,294.0,260.0,298.0,367.0,338.0,355.0,269.0,248.0,310.0,243.45763,269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,169.0,136.0,135.0,140.0,133.0,118.0,114.0,108.0,117.0,137.0,150.0,162.09756000000002,145.0,2.0,1.0,7.0,10.0,20.0,50.0,43.0,28.0,34.0,9.0,8.0,3.8,0.0,562.0,497.0,395.0,389.0,339.0,589.0,610.0,503.0,375.0,295.0,340.0,243.0,326.0
2,-199.0,261.0,402.0,268.0,836.0,953.0,1375.0,1160.0,462.0,-145.0,-348.0,-206.0,-362.0,464.68542,514.47315,514.47315,497.87724,514.47315,497.87724,514.47315,514.47315,497.87724,514.47315,497.87724,514.47315,514.47315,269.0,332.0,325.0,294.0,260.0,298.0,367.0,338.0,355.0,269.0,248.0,310.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,169.0,136.0,135.0,140.0,133.0,118.0,114.0,108.0,117.0,137.0,150.0,157.0,0.0,2.0,1.0,7.0,10.0,20.0,50.0,43.0,28.0,34.0,9.0,8.0,-140.0,326.0,562.0,497.0,395.0,389.0,339.0,589.0,610.0,503.0,375.0,295.0,340.0,384.0
3,-362.0,-199.0,261.0,402.0,268.0,836.0,953.0,1375.0,1160.0,462.0,-145.0,-348.0,-117.0,514.47315,464.68542,514.47315,514.47315,497.87724,514.47315,497.87724,514.47315,514.47315,497.87724,514.47315,497.87724,497.87724,318.0,269.0,332.0,325.0,294.0,260.0,298.0,367.0,338.0,355.0,269.0,248.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,145.0,169.0,136.0,135.0,140.0,133.0,118.0,114.0,108.0,117.0,137.0,128.0,-140.0,0.0,2.0,1.0,7.0,10.0,20.0,50.0,43.0,28.0,34.0,9.0,-717.0,384.0,326.0,562.0,497.0,395.0,389.0,339.0,589.0,610.0,503.0,375.0,295.0,396.0
4,-117.0,-362.0,-199.0,261.0,402.0,268.0,836.0,953.0,1375.0,1160.0,462.0,-145.0,-342.0,497.87724,514.47315,464.68542,514.47315,514.47315,497.87724,514.47315,497.87724,514.47315,514.47315,497.87724,514.47315,514.47315,251.0,318.0,269.0,332.0,325.0,294.0,260.0,298.0,367.0,338.0,355.0,269.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,128.0,157.0,145.0,169.0,136.0,135.0,140.0,133.0,118.0,114.0,108.0,117.0,135.0,-717.0,-140.0,0.0,2.0,1.0,7.0,10.0,20.0,50.0,43.0,28.0,34.0,-783.00001,396.0,384.0,326.0,562.0,497.0,395.0,389.0,339.0,589.0,610.0,503.0,375.0,360.0909
5,-342.0,-117.0,-362.0,-199.0,261.0,402.0,268.0,836.0,953.0,1375.0,1160.0,462.0,518.0,514.47315,497.87724,514.47315,464.68542,514.47315,514.47315,497.87724,514.47315,497.87724,514.47315,514.47315,497.87724,497.87724,259.0,251.0,318.0,269.0,332.0,325.0,294.0,260.0,298.0,367.0,338.0,355.0,300.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,135.0,128.0,157.0,145.0,169.0,136.0,135.0,140.0,133.0,118.0,114.0,108.0,126.0,-783.00001,-717.0,-140.0,0.0,2.0,1.0,7.0,10.0,20.0,50.0,43.0,28.0,-778.0,360.0909,396.0,384.0,326.0,562.0,497.0,395.0,389.0,339.0,589.0,610.0,503.0,-108.0
6,518.0,-342.0,-117.0,-362.0,-199.0,261.0,402.0,268.0,836.0,953.0,1375.0,1160.0,1095.0,497.87724,514.47315,497.87724,514.47315,464.68542,514.47315,514.47315,497.87724,514.47315,497.87724,514.47315,514.47315,514.47315,300.0,259.0,251.0,318.0,269.0,332.0,325.0,294.0,260.0,298.0,367.0,338.0,373.0,141.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,126.0,135.0,128.0,157.0,145.0,169.0,136.0,135.0,140.0,133.0,118.0,114.0,121.0,-778.0,-783.00001,-717.0,-140.0,0.0,2.0,1.0,7.0,10.0,20.0,50.0,43.0,-765.0,-108.0,360.0909,396.0,384.0,326.0,562.0,497.0,395.0,389.0,339.0,589.0,610.0,111.0
7,1095.0,518.0,-342.0,-117.0,-362.0,-199.0,261.0,402.0,268.0,836.0,953.0,1375.0,1305.0,514.47315,497.87724,514.47315,497.87724,514.47315,464.68542,514.47315,514.47315,497.87724,514.47315,497.87724,514.47315,514.47315,373.0,300.0,259.0,251.0,318.0,269.0,332.0,325.0,294.0,260.0,298.0,367.0,312.0,143.0,141.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,121.0,126.0,135.0,128.0,157.0,145.0,169.0,136.0,135.0,140.0,133.0,118.0,121.0,-765.0,-778.0,-783.00001,-717.0,-140.0,0.0,2.0,1.0,7.0,10.0,20.0,50.0,-732.0,111.0,-108.0,360.0909,396.0,384.0,326.0,562.0,497.0,395.0,389.0,339.0,589.0,220.0
8,1305.0,1095.0,518.0,-342.0,-117.0,-362.0,-199.0,261.0,402.0,268.0,836.0,953.0,1055.0,514.47315,514.47315,497.87724,514.47315,497.87724,514.47315,464.68542,514.47315,514.47315,497.87724,514.47315,497.87724,497.87724,312.0,373.0,300.0,259.0,251.0,318.0,269.0,332.0,325.0,294.0,260.0,298.0,327.0,144.0,143.0,141.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,121.0,121.0,126.0,135.0,128.0,157.0,145.0,169.0,136.0,135.0,140.0,133.0,128.0,-732.0,-765.0,-778.0,-783.00001,-717.0,-140.0,0.0,2.0,1.0,7.0,10.0,20.0,-519.0,220.0,111.0,-108.0,360.0909,396.0,384.0,326.0,562.0,497.0,395.0,389.0,339.0,118.0
9,1055.0,1305.0,1095.0,518.0,-342.0,-117.0,-362.0,-199.0,261.0,402.0,268.0,836.0,690.0,497.87724,514.47315,514.47315,497.87724,514.47315,497.87724,514.47315,464.68542,514.47315,514.47315,497.87724,514.47315,510.08951,327.0,312.0,373.0,300.0,259.0,251.0,318.0,269.0,332.0,325.0,294.0,260.0,280.0,140.0,144.0,143.0,141.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,128.0,121.0,121.0,126.0,135.0,128.0,157.0,145.0,169.0,136.0,135.0,140.0,148.0,-519.0,-732.0,-765.0,-778.0,-783.00001,-717.0,-140.0,0.0,2.0,1.0,7.0,10.0,-533.0,118.0,220.0,111.0,-108.0,360.0909,396.0,384.0,326.0,562.0,497.0,395.0,389.0,-6.495760000000004
