      MAE    RMSE
0: 0.1629522678334435  0.22145556868265026
1: 0.08471767180792293  0.09420077982673315
10: 0.040233315871941816  0.04357866275754683
100: 0.0926980339408708  0.12696805759759264
101: 0.026781043550247255  0.026812792019527475
102: 0.07345347762493046  0.08667463304729765
103: 0.11857009518035523  0.13717064452225677
104: 0.07119970761739007  0.07902138103849538
105: 0.24427330869551497  0.28669290577613216
106: 0.21525372512652804  0.23455102679141904
107: 0.04023952422131961  0.061190153181746386
108: 0.05764616676151208  0.07720082661229091
109: 0.0670760836809856  0.08106800193071596
11: 0.082016600177742  0.08519254282192577
110: 0.14621900020246695  0.1470419543337378
111: 0.01659421572620903  0.026581989156126654
112: 0.053680134985064805  0.06853279115056388
113: 0.16590578721687857  0.22461838869050452
114: 0.05812237992963151  0.07106435321140436
115: 0.17573108370878077  0.23345163330732308
116: 0.022304074049609393  0.029000043214852788
117: 0.09020430296795788  0.1070237631429261
118: 0.06554347802846754  0.07757551991196
119: 0.11148888589659632  0.12769383687942157
12: 0.022990497326584942  0.03520387211548757
120: 0.06548840848331632  0.09105813527364853
121: 0.033952840746917706  0.038151663768116906
122: 0.1271171760689491  0.12739293463910298
123: 0.030180193910271044  0.05067900055494384
124: 0.08182666740736835  0.09185321899277604
125: 0.13329863988836207  0.1658512163416109
126: 0.033140494969347234  0.06134389288091757
127: 0.03798889857091627  0.046477879497709366
128: 0.25247916852677177  0.26806681485582934
129: 0.05071247509052662  0.06239705550286474
13: 0.025310754665718093  0.039871323711366355
130: 0.1751991335009411  0.17655547320029988
131: 0.12949914554556663  0.16519380658337549
132: 0.3285369184988771  0.34902061790739103
134: 0.1707171124757296  0.21784378188540723
135: 0.1347218064848257  0.13965817517389975
136: 0.0604498267299464  0.06635316895158887
137: 0.04533202193059077  0.05259890330902648
138: 0.1558009870857806  0.16427519934268847
139: 0.11401373466509569  0.1448620708090043
14: 0.0098114180270657  0.011824694912504274
140: 0.1444939382210663  0.17119129534143518
141: 0.1610840601973685  0.188624601694032
142: 0.18304419168484087  0.20492132650920217
143: 0.22045725831000693  0.22052416781135736
144: 0.08824270879288686  0.11962030060056383
145: 0.08138226731979743  0.10674648310359643
146: 0.09928838985288745  0.10843681597499016
147: 0.01647216850281739  0.022050269370404284
148: 0.024805617292477627  0.03865845327125877
149: 0.1338061488747038  0.1542848198012329
15: 0.026524429108420955  0.03131545191144794
150: 0.10528723943550782  0.12704741123524183
151: 0.08752260821127439  0.10224217030366674
152: 0.07930000747747813  0.09056128708849684
153: 0.13136761310377024  0.1793414316211721
16: 0.021389497638973746  0.027121960440606167
17: 0.049673907192784694  0.053635406221287124
18: 0.029841325530241884  0.03464179802128816
19: 0.17187796106068706  0.18681766678147949
2: 0.02880061330840594  0.03671596988919572
20: 0.025497547810239548  0.026052406912022236
21: 0.008447720200471576  0.010003106441648995
22: 0.024024517550150577  0.024932507948592905
23: 0.10121138066845474  0.10554800626360855
24: 0.06392073786502735  0.08115168251303874
25: 0.07091969390982446  0.08154212469932604
26: 0.09678295173380524  0.12124459314287406
27: 0.15256840803792723  0.1930605192839499
28: 0.05759177648969124  0.06330780900750499
29: 0.03549616363620343  0.04004102341820928
3: 0.10423464730170963  0.15368721276034644
30: 0.08625868042889928  0.0947283059221048
31: 0.5027282142857142  0.5038011034568134
32: 0.04439033466650926  0.05870935529272974
33: 0.0008638419676751398  0.0021989830388448434
34: 0.12240350491197553  0.14992620952493035
35: 0.035215622280243684  0.054141949450951826
36: 0.07716906058217672  0.10821901281957301
37: 0.06372691046956622  0.09280191225870332
38: 0.1048215045609568  0.11462557292412003
39: 0.0646273166753058  0.08547697481775275
4: 0.05607413544170353  0.07050824998140157
40: 0.12963626055820013  0.1367953000234211
41: 0.11256247429721018  0.12903556350003761
42: 0.09123685943615277  0.11712298561690054
43: 0.1026498164382833  0.14890812150914925
44: 0.047820868580151  0.07205156133856427
45: 0.13153242981566324  0.15717707219610283
46: 0.11190347222222219  0.14063738624206168
47: 0.05582074670228691  0.07936711501453692
48: 0.016685519169171655  0.022925286359442583
49: 0.06750623625369297  0.0742976772966881
5: 0.015099859254852964  0.017577800302689475
50: 0.023944548244703396  0.02745766439290781
51: 0.05222116551969732  0.07306043817921762
52: 0.05440824857859387  0.06090255995291444
53: 0.4694242261904762  0.47062315968793056
54: 0.04766605387278966  0.05791182344067628
55: 0.027163972173872442  0.036237745270805186
56: 0.48636261904761907  0.48789991374362573
57: 0.06990068199214483  0.07327705272388399
58: 0.065605409756388  0.07401455308207076
59: 0.030533498277694183  0.04592727499156384
6: 0.07388653844922151  0.08138941041358569
60: 0.05701322923721067  0.07827374360480722
61: 0.057114395184173265  0.06314713135106931
62: 0.028727845856508713  0.030988137515657932
63: 0.01429529155653723  0.01633700815070318
64: 0.04675808269311891  0.0587242698723193
65: 0.1065153978768268  0.12190105580635521
66: 0.09655183023556335  0.1092611748129806
67: 0.08599591489535212  0.09473803345972046
68: 0.13614872107056322  0.20218496835631336
69: 0.1790878656522824  0.19951155487239636
7: 0.029003172130316654  0.03777003636088186
70: 0.13029849424499088  0.15615387114292484
71: 0.07892580944132739  0.09601769190802487
72: 0.0900628015349726  0.12748755701428469
73: 0.03282981466784416  0.046116205595040025
74: 0.05240770982857324  0.05980635216818988
75: 0.08349086221981024  0.11962844898543053
76: 0.03813453275546025  0.04629952431745296
77: 0.019917887954655992  0.023737477169131313
78: 0.05792061399195462  0.06387158168293575
79: 0.01771017026871275  0.01979430419372519
8: 0.15694275081928938  0.17685982329555724
