,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,2184.0,1631.0,1577.0,1225.0,1232.0,1189.0,1204.0,1214.0,1278.0,1189.0,997.0,1155.0,1889.0,1278.55,1256.2,499.5,238.0,41.0,52.0,244.0,797.0,881.0,1088.0,1367.0,1564.0,1158.225
1,1889.0,2184.0,1631.0,1577.0,1225.0,1232.0,1189.0,1204.0,1214.0,1278.0,1189.0,997.0,1635.0,1158.225,1278.55,1256.2,499.5,238.0,41.0,52.0,244.0,797.0,881.0,1088.0,1367.0,696.475
2,1635.0,1889.0,2184.0,1631.0,1577.0,1225.0,1232.0,1189.0,1204.0,1214.0,1278.0,1189.0,2226.0,696.475,1158.225,1278.55,1256.2,499.5,238.0,41.0,52.0,244.0,797.0,881.0,1088.0,496.875
3,2226.0,1635.0,1889.0,2184.0,1631.0,1577.0,1225.0,1232.0,1189.0,1204.0,1214.0,1278.0,1522.0,496.875,696.475,1158.225,1278.55,1256.2,499.5,238.0,41.0,52.0,244.0,797.0,881.0,108.825
4,1522.0,2226.0,1635.0,1889.0,2184.0,1631.0,1577.0,1225.0,1232.0,1189.0,1204.0,1214.0,1321.0,108.825,496.875,696.475,1158.225,1278.55,1256.2,499.5,238.0,41.0,52.0,244.0,797.0,40.65
5,1321.0,1522.0,2226.0,1635.0,1889.0,2184.0,1631.0,1577.0,1225.0,1232.0,1189.0,1204.0,1185.0,40.65,108.825,496.875,696.475,1158.225,1278.55,1256.2,499.5,238.0,41.0,52.0,244.0,23.225
6,1185.0,1321.0,1522.0,2226.0,1635.0,1889.0,2184.0,1631.0,1577.0,1225.0,1232.0,1189.0,1256.0,23.225,40.65,108.825,496.875,696.475,1158.225,1278.55,1256.2,499.5,238.0,41.0,52.0,408.6
7,1256.0,1185.0,1321.0,1522.0,2226.0,1635.0,1889.0,2184.0,1631.0,1577.0,1225.0,1232.0,156.0,408.6,23.225,40.65,108.825,496.875,696.475,1158.225,1278.55,1256.2,499.5,238.0,41.0,127.55
8,156.0,1256.0,1185.0,1321.0,1522.0,2226.0,1635.0,1889.0,2184.0,1631.0,1577.0,1225.0,821.0,127.55,408.6,23.225,40.65,108.825,496.875,696.475,1158.225,1278.55,1256.2,499.5,238.0,536.025
9,821.0,156.0,1256.0,1185.0,1321.0,1522.0,2226.0,1635.0,1889.0,2184.0,1631.0,1577.0,-483.0,536.025,127.55,408.6,23.225,40.65,108.825,496.875,696.475,1158.225,1278.55,1256.2,499.5,1212.59993
