      MAE    RMSE
0: 0.15016570257055134  0.23043476238820865
1: 0.15310809430387934  0.17227420608532085
10: 0.4209334592800986  0.47017075240605616
100: 0.2381206180970438  0.30263845268316264
101: 0.030015571341514464  0.03466068862415036
102: 0.05684170183944864  0.07313104963284453
103: 0.14590009373408727  0.23450046409409506
104: 0.10428830939171346  0.11544710096320888
105: 0.1893730231859733  0.2871072651604531
106: 0.14347788479080267  0.20303764454132484
0: 0.15016570257055134  0.23043476238820865
1: 0.15310809430387934  0.17227420608532085
10: 0.4209334592800986  0.47017075240605616
100: 0.2381206180970438  0.30263845268316264
101: 0.030015571341514464  0.03466068862415036
102: 0.05684170183944864  0.07313104963284453
103: 0.14590009373408727  0.23450046409409506
104: 0.10428830939171346  0.11544710096320888
105: 0.1893730231859733  0.2871072651604531
106: 0.14347788479080267  0.20303764454132484
107: 0.09057978467768717  0.1497656075847009
108: 0.20218934427868696  0.21945657689161563
109: 0.12100143609610754  0.13933934580661636
11: 0.09759010854378723  0.13801180615482225
110: 0.03327777777777777  0.08657185588705957
111: 0.21673927649429858  0.3099509725822111
112: 0.1324006208084675  0.21048571001022645
113: 0.16570009526752286  0.20109023334783177
114: 0.07709751775724698  0.09207994956106698
115: 0.11815596033559761  0.16305817579456997
116: 0.06829155987486508  0.09610552625448236
117: 0.22500513293119995  0.29555263490398875
118: 0.1854536536296353  0.19921081855605005
119: 0.07132688823774243  0.08783635529169412
12: 0.04134076795353184  0.05807580474754886
120: 0.22471951597139395  0.2423379200805606
121: 0.10158485648237564  0.12533664235800562
122: 0.08827179293148968  0.08975987159037306
123: 0.05436452109535624  0.06884375869910041
124: 0.21927562627059957  0.2585312678669801
125: 0.283967683445733  0.3398713558152241
126: 0.15556589727633902  0.179996233855824
127: 0.6145429526748971  0.6228435006386072
128: 0.4720662039187675  0.48479579996013167
129: 0.06521361298415793  0.07140674554190873
13: 0.09673742094290426  0.1330706719222596
130: 0.20231485211595857  0.20752319355669802
131: 0.5436160241874528  0.5615859800247032
132: 0.280181672381413  0.3152146252146435
134: 0.33133958529042884  0.3504393084698518
135: 0.06320999153343683  0.07408971683892994
136: 0.09290263890419433  0.11564947924055627
137: 0.18409284954034652  0.19976461151797603
138: 0.08865067884728717  0.10160255401073989
139: 0.08532106702129581  0.11595541603579214
14: 0.11443844281422973  0.1633679471208074
140: 0.12594025712707982  0.1660053527991259
141: 0.24654092351093052  0.3045145284197724
142: 0.15900226516292956  0.18580997764793625
143: 0.2044342570240069  0.20655340615392287
144: 0.3527676189361934  0.38973342709592895
145: 0.06013476696368705  0.08419827149446638
146: 0.06856742415028685  0.08118068769811797
147: 0.04251878669123719  0.05418665471773701
148: 0.10298269717268692  0.13936191941834783
149: 0.09984709526004897  0.13486340324257623
15: 0.06055645541471693  0.09127037067097062
150: 0.11394258639910813  0.13201343625098919
151: 0.1202748580357136  0.15937881924337058
152: 0.1112549003254863  0.13868933401437358
153: 0.8755486581797697  0.8995163623797213
16: 0.42357223249988446  0.4687831482865805
17: 0.3245315404090438  0.35051704588515725
18: 0.2707378106100143  0.3184976822573098
19: 0.12441851699936869  0.18806196259008026
2: 0.1366818205871079  0.1586650564049135
20: 0.047475245107379216  0.07248005274299493
21: 0.1579351267496745  0.17805099199434973
22: 0.08412177812054587  0.10095223029368357
23: 0.10900741668499321  0.14040057663022862
24: 0.0851770440236881  0.09530958678789662
25: 0.04306207841734735  0.048969205067384294
26: 0.1548259320937762  0.19127650669220014
27: 0.14561031108035719  0.18191499542135967
28: 0.10014806473084553  0.11556693220490706
29: 0.09755659881227048  0.12565952833022698
3: 0.2603944379645254  0.32710278821421573
30: 0.06986249558926504  0.08069378039620483
31: 0.20348413551256636  0.22228114848389877
32: 0.2569419667393072  0.29768416311762436
33: 0.05194399690042505  0.05319739753685206
34: 0.1971860650078839  0.26379836802869266
35: 0.035720927119112414  0.04393245115442146
36: 0.1106863061486746  0.13249595167718187
37: 0.21246184601612736  0.34261447464844197
