      MAE    RMSE
0: 0.2636728705938563  0.33302542244155
1: 0.22983446100041352  0.2797653630392916
10: 0.22398948966031673  0.26195542689553103
100: 0.2965601975754203  0.33372587275271287
101: 0.2914679167829786  0.3850880807795816
102: 0.09331400844377413  0.1276170507803432
103: 0.2553795706807564  0.2918147825821698
104: 0.1964584420074262  0.257146399441359
105: 0.18751000546534535  0.2673800220872043
106: 0.40405900337171924  0.42825918931160295
107: 0.29065206189900783  0.46852816357852384
108: 0.22250350732887217  0.2709898596390533
109: 0.25733486510965903  0.3579122892094017
11: 0.17367746098884052  0.2654089531789421
110: 0.17004626003671755  0.3288281854063111
111: 0.2518840066293919  0.3358247938509697
112: 0.24592534352103232  0.32104657516943064
113: 0.2603213547043069  0.29343415469695333
114: 0.12591513776300167  0.16616469948782409
115: 0.10277410240191198  0.13135665428088167
116: 0.3260795060131289  0.3664551518191012
117: 0.18396867610817091  0.2483299965583965
118: 0.24934537038460758  0.307950849929701
119: 0.1368928024845123  0.17731023734222387
12: 0.18559169956443386  0.2689185910425112
120: 0.1525119686985211  0.18088183154562948
121: 0.24771919268540535  0.3049354919611149
122: 0.3777729825467508  0.4470387260636257
123: 0.2503926192151437  0.3484266744408806
124: 0.33951790246515706  0.3835782548805887
125: 0.3611355245957201  0.37290414520501824
126: 0.4110938395099826  0.429806965491284
127: 0.4926345919853192  0.5669958544072949
128: 0.3230901599075723  0.3866778109848421
129: 0.3593395979106788  0.43239630056670064
13: 0.15137819577583497  0.2334360546534424
130: 0.2807531001634467  0.3649433644975333
131: 0.29766257533760904  0.3537064451410602
132: 0.42794053832811785  0.4766344662353551
134: 0.12485932707496761  0.1440395406819167
135: 0.3075811313436641  0.37621824968295664
136: 0.3368450420141962  0.35283750107513107
137: 0.1509318784914159  0.1911389017679385
138: 0.24983440517476463  0.2911362735367289
139: 0.10643500520555232  0.13221574471178316
14: 0.2583048770735804  0.29002431871891965
140: 0.2054394871294254  0.2468233915694064
141: 0.2613362380550646  0.3271059006126255
142: 0.19593521198831376  0.2251492868174321
143: 0.236010821329223  0.29381797482884164
144: 0.2754159510661805  0.34543278697964847
145: 0.1941025875128027  0.2900342713441815
146: 0.17219864532795268  0.20628338090527787
147: 0.10859495213738192  0.17648726083356975
148: 0.2560331733344538  0.3130847165376137
149: 0.09727897529496236  0.12271478961392276
15: 0.2707537348244983  0.3272307203733716
150: 0.303204383399089  0.34058407490340986
151: 0.2004474365603324  0.2508039381747506
152: 0.18093615446195052  0.2260039388310095
153: 0.3873232159379018  0.4812032283629776
16: 0.28870259378882  0.35863341902909684
17: 0.23635523530720157  0.28830572657782444
18: 0.1633107463343937  0.2284588624603582
19: 0.2663551720992429  0.291652704294019
2: 0.13607488717153512  0.20027107243250766
20: 0.15253237655241977  0.2840839118117271
21: 0.29124756743719216  0.3455172266169769
22: 0.2148569970255041  0.27875289127138475
23: 0.12138633548022552  0.13703103772407488
